player_id,player_name,positions,blocked_punt,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,0.0,17.0,2.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,0.0,23.0,2.0,,,
case-cookus,Case Cookus,QB,,,,,1.0,,,,1.0,204.0,,,,,0.0,16.0,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,0.0,43.0,7.0,0.0,15.0,
darius-victor,Darius Victor,RB,,,,,,,1.0,,,,,0.0,33.0,5.0,0.0,3.0,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,0.0,13.0,1.0,,,
jj-molson,J.J. Molson,K,,,100.0,,,,,,,,,,,,,,
jarrett-guarantano,Jarrett Guarantano,QB,,,,,0.0,,1.0,,0.0,157.0,,,,,1.0,22.0,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,0.0,49.0,4.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,0.0,17.0,1.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,0.0,11.0,1.0,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,,0.0,33.0,4.0,0.0,1.0,
lee-morris,Lee Morris,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
matt-coghlin,Matt Coghlin,K,,,78.0,,,,,1.0,,,,,,,,,
reid-sinnett,Reid Sinnett,QB,,,,,0.0,,,,0.0,0.0,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,,1.0,,0.0,,,,,12.0,,,,,,0.0
roughnecks-k,Roughnecks K,K,,,100.0,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,,0.0,,1.0,,0.0,0.0,,,,,0.0,0.0,
showboats-k,SHOWBOATS K,K,,,78.0,,,,,1.0,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,1.0,,,,1.0,204.0,,,,,0.0,16.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,0.0,38.0,2.0,,,
showboats-dst,Showboats DST,DST,1.0,1.0,,3.0,,0.0,,,,,12.0,,,,,,4.0
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,,0.0,14.0,2.0,0.0,15.0,
titus-swen,Titus Swen,RB,,,,,,,,,,,,0.0,5.0,1.0,0.0,0.0,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,1.0,36.0,4.0,,,
