player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
noa-purcell,Noa Purcell,LB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,1.0,0.0,,
patrick-mcsweeney,Patrick Mcsweeney,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
prince-shonola,Prince Shonola,WR,,,,,,,,4.0,,,,,,,20.5,50.0,1.0,82.0,,,,,,,,,,,,6.8,19.0,6.0,2.0,41.0,,,,,,
raphael-turner,Raphael Turner,OL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,2.0,32.0,4.0,,,,,,,,,,,
terrence-jackson,Terrence Jackson,DB,1.0,1.0,0.0,19.0,19.0,19.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,
tevin-bush,Tevin Bush,JLB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tevin-shipp,Tevin Shipp,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tremell-gooden,Tremell Gooden,WR,,,,,,,,,,,,,,,,,,,,,,,,,9.5,10.0,0.0,19.0,2.0,,,,,,,,,,,
verlon-reed,Verlon Reed,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
willie-caviness,Willie Caviness,K,,,,,,,,3.0,,,,,,,8.7,12.0,0.0,26.0,,,,,,,9.8,17.0,0.0,49.0,5.0,5.0,5.0,1.0,0.0,5.0,,,,,,
zach-hannibel,Zach Hannibel,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
zack-brown,Zack Brown,DL/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
