player_id,player_name,positions,1pt_conversion,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,0.0,7.0,1.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,0.0,0.0,0.0,,,
bryce-perkins,Bryce Perkins,QB,2.0,,,1.0,,,,1.0,121.0,,,,,2.0,76.0,
cole-hikutini,Cole Hikutini,TE,2.0,,,,,,,,,,0.0,0.0,0.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,0.0,0.0,0.0,,,
danny-etling,Danny Etling,QB,,,,1.0,,,,0.0,110.0,,,,,0.0,10.0,
devin-gray,Devin Gray,WR,,,,,,,,,,,0.0,13.0,2.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,,,0.0,54.0,4.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,0.0,48.0,2.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,0.0,0.0,0.0,,,
jj-molson,J.J. Molson,K,,39.0,,,,,,,,,,,,,,
jake-bates,Jake Bates,K/PK,,,,,,,1.0,,,,,,,,,
justin-hall,Justin Hall,WR,1.0,,,,,,,,,,2.0,109.0,6.0,0.0,1.0,
keke-chism,Keke Chism,WR,,,,,,,,,,,0.0,40.0,3.0,,,
mark-thompson,Mark Thompson,RB,,,,,,1.0,,,,,0.0,3.0,1.0,1.0,38.0,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,,,0.0,16.0,3.0,0.0,14.0,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,0.0,12.0,1.0,1.0,21.0,
nolan-henderson,Nolan Henderson,QB,1.0,,,0.0,,,,2.0,150.0,,,,,0.0,66.0,
panthers-dst,Panthers DST,DST,,,1.0,,0.0,,,,,22.0,,,,,,4.0
panthers-k,Panthers K,K,,,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,2.0,,,2.0,,,,1.0,231.0,,,,,2.0,86.0,
reid-sinnett,Reid Sinnett,QB,,,,0.0,,,,0.0,57.0,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,,,2.0,,,,,26.0,,,,,,0.0
roughnecks-k,Roughnecks K,K,,39.0,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,0.0,,,,2.0,207.0,,,,,0.0,66.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,,,0.0,13.0,1.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,0.0,95.0,8.0,,,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,,,,0.0,5.0,
terry-wright,Terry Wright,WR,,,,,,,,,,,0.0,11.0,1.0,,,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,1.0,17.0,4.0,,,
