player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
ak-bangura,AK Bangura,,21.0,0.0,0.0,11.0,7.0,0.0,6.0,0.0,0.0,12.0,0.0,2.0,,1.0
am-kamara,AM Kamara,,4.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,1.0
aminata-kamara,Aminata Kamara,,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
c-bull,C Bull,,3.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,0.0,,1.0
e-iloku,E Iloku,,10.0,1.0,1.0,2.0,12.0,0.0,,,,,,,1.0,1.0
emma-kamara,Emma Kamara,,3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
f-conteh,F Conteh,,9.0,1.0,0.0,6.0,6.0,0.0,,,,,,,,1.0
h-sawanneh,H Sawanneh,,14.0,1.0,1.0,10.0,8.0,0.0,,,,,,,,1.0
j-mbabazi,J Mbabazi,,19.0,2.0,1.0,1.0,19.0,0.0,,,,,,,,1.0
j-newland-2,J Newland (2),,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,1.0
k-amuge,K Amuge,,,,,,,,24.0,0.0,0.0,19.0,5.0,2.0,,1.0
k-awino,K Awino,,,,,,,,,,,,,,1.0,1.0
l-bull,L Bull,,1.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,,1.0
p-pratt,P Pratt,,2.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,1.0
s-akiteng,S Akiteng,,,,,,,,7.0,2.0,0.0,0.0,3.0,0.0,,1.0
s-tino,S Tino,,,,,,,,12.0,0.0,0.0,5.0,1.0,2.0,,1.0
t-oyella,T Oyella,,,,,,,,24.0,1.0,0.0,7.0,0.0,0.0,,1.0
z-kamara,Z Kamara,,8.0,0.0,0.0,8.0,2.0,0.0,,,,,,,,1.0
