player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,0.0,8.0,2.0,1.0,56.0,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,K/DST/QB,1.0,3.0,34.0,,2.0,3.0,,2.0,252.0,28.0,,,,0.0,-1.0,4.0
blake-jackson,Blake Jackson,WR,,,,,,,,,,,0.0,0.0,0.0,,,
brandon-silvers,Brandon Silvers,QB,,,,,1.0,,,0.0,76.0,,,,,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,1.0,116.0,3.0,,,
deonte-brown,Deonte Brown,OG,,3.0,,,,,,,,,,,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,1.0,146.0,4.0,,,
harrison-frost,Harrison FROST,QB,,,,,2.0,,,3.0,148.0,,,,,0.0,-11.0,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,0.0,8.0,1.0,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,0.0,17.0,4.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,,,,0.0,35.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,0.0,22.0,1.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,1.0,35.0,1.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,0.0,36.0,4.0,,,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,0.0,10.0,2.0,0.0,41.0,
rahjai-harris,Rahjai Harris,RB,,,,,,,,,,,,,,0.0,10.0,
st-louis-battlehawks-dst,ST. LOUIS BATTLEHAWKS DST,K/DST,1.0,4.0,94.0,1.0,,2.0,,,,24.0,,,,,,1.0
st-louis-battlehawks-qb,ST. LOUIS BATTLEHAWKS QB,QB,,,,,3.0,,,3.0,224.0,,,,,0.0,-11.0,
snoop-conner,Snoop Conner,RB,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,10.0,
steven-mcbride,Steven McBride,WR,,,,,,,,,,,1.0,35.0,3.0,,,
tucker-mccann,Tucker McCann,K,,4.0,94.0,,,,,,,,,,,,,
tyler-davis,Tyler Davis,RB/TE/WR,,,,,,,,,,,,5.0,2.0,,,
tyler-neville,Tyler Neville,TE,,,,,,,,,,,1.0,16.0,2.0,,,
