player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,,,,,,,,,,2.0,,,,,,,,,,,,33.0,14.0,,19.0,1.0,131.0,,,,,,3.4,16.0,8.0,0.0,27.0,,,,,,,,
alex-steiner,Alex Steiner,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
andre-sale,Andre Sale,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,9.0,9.0,1.0,0.0,9.0,,,,,,,,
blake-erickson,Blake Erickson,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
brad-namdar,Brad Namdar,K,,,,,,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,19.0,19.0,0.0,19.0,1.0,0.7,9.0,7.0,0.0,5.0,,,,,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,,,,2.0,0.0,0.0,,,,,,5.0,35.7,0.0,0.0,250.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,27.0,0.0,66.0,5.0,11.0,11.0,1.0,0.0,11.0,,,,,,,,
cedric-hearvey,Cedric Hearvey,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
dajon-emory,Dajon Emory,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
daniel-williams,Daniel Williams,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
darrien-crowe,Darrien Crowe,K,0.0,1.0,0.0,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
