player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alize-mack,Alize Mack,TE,,,,,,,29.0,3.0,,,,
antoine-brooks,Antoine Brooks,CB/DB,,,,,,,11.0,1.0,,,,4.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,1.0,,,,,,,,,1.0
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,,,,,3.0
ben-dinucci,Ben DiNucci,QB,1.0,,,1.0,264.0,,,,,2.0,,
blake-jackson,Blake Jackson,WR,,,,,,,59.0,5.0,,,,
brahmas-dst,Brahmas DST,DST,,1.0,,,,,,,,,1.0,
brahmas-qb,Brahmas QB,QB,,,,,189.0,,,,,9.0,,
chris-jones,Chris Jones,DT/DB,,,1.0,,,,,,,,,2.0
damion-willis,Damion Willis,WR,,,,,,,14.0,1.0,,,,
drew-beesley,Drew Beesley,DE/DL,,,,,,,,,,,,2.0
elijah-ponder,Elijah Ponder,LB/DL,,,,,,,,,,,1.0,1.0
emmanuel-smith-2,Emmanuel Smith,LB,,,,,,,,,,,,1.0
fred-brown,Fred Brown,WR,,,,,,,31.0,3.0,,,,
jack-coan,Jack Coan,QB,,,,,189.0,,,,,9.0,,
jack-koerner,Jack Koerner,SS/DB,,,,,,,,,,,,5.0
jacques-patrick,Jacques Patrick,RB,,,,,,,17.0,2.0,,5.0,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,76.0,8.0,,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,34.0,6.0,,,,
jon-hilliman,Jon Hilliman,RB,,,,,,,,,,2.0,,
jordan-evans,Jordan Evans,LB,,,,,,,,,,,,4.0
jordan-veasy,Jordan Veasy,WR,,,,,,,14.0,3.0,,,,
jordan-williams,Jordan Williams,LB/MLB/DB/OT/DE/DL,,,,,,,,,,,,12.0
josh-gordon,Josh Gordon,WR,,,,,,,57.0,5.0,,,,
juwan-green,Juwan Green,WR,,,,,,1.0,36.0,4.0,,,,
kalen-ballage,Kalen Ballage,RB,,,,,,,19.0,2.0,,5.0,,
linden-stephens,Linden Stephens,DB,,,,,,,,,,,,4.0
luq-barcoo,Luq Barcoo,CB/DB,,1.0,3.0,,,,,,,,1.0,6.0
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,,,3.0
morgan-ellison,Morgan Ellison,RB,,,,,,,10.0,2.0,1.0,69.0,,
niko-lalos,Niko Lalos,DE/DL,,,,,,,,,,,,1.0
qwynnterrio-cole,Qwynnterrio Cole,FS/DB,,,,,,,,,,,,5.0
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,,1.0
ryan-lewis,Ryan Lewis,DB,,,,,,,,,,,,1.0
sea-dragons-dst,Sea Dragons DST,DST,,,,,,,,,,,3.0,
sea-dragons-qb,Sea Dragons QB,QB,1.0,,,1.0,264.0,,,,,2.0,,
tj-hammonds,T.J. Hammonds,WR,,,,,,,12.0,1.0,,5.0,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,,4.0
terrell-bonds,Terrell Bonds,CB/DB,,,,,,,,,,,,7.0
travis-jonsen,Travis Jonsen,WR,,,,,,,5.0,1.0,,,,
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,2.0
tuzar-skipper,Tuzar Skipper,LB/OLB,,,,,,,,,,,2.0,4.0
