player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
ch-abeyratne,CH Abeyratne,,3.0,0.0,1.0,5.0,1.0,0.0,,,,,,,,1.0
dal-paramitha,DAL Paramitha,,,,,,,,18.0,0.0,0.0,10.0,1.0,1.0,,1.0
fl-albanjari,FL Albanjari,,,,,,,,,,,,,,1.0,1.0
gk-diviya,GK Diviya,,21.0,2.0,0.0,1.0,15.0,0.0,,,,,,,,1.0
nlkwr-dewi,NLKWR Dewi,,,,,,,,18.0,0.0,0.0,15.0,1.0,3.0,,1.0
npan-sakarini,NPAN Sakarini,,,,,,,,,,,,,,1.0,1.0
nw-sariani,NW Sariani,,,,,,,,12.0,0.0,0.0,3.0,1.0,0.0,,1.0
psr-gurusinghe,PSR Gurusinghe,,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
rr-seth,RR Seth,,6.0,0.0,1.0,6.0,1.0,0.0,,,,,,,,1.0
s-merican,S Merican,,5.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
san-maypriani,SAN Maypriani,,,,,,,,12.0,1.0,0.0,2.0,0.0,1.0,,1.0
shafina-mahesh,Shafina Mahesh,,22.0,0.0,0.0,4.0,6.0,0.0,,,,,,,,1.0
