player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
brandon-sheperd,Brandon Sheperd,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,5.0,,,,
brian-robinson,Brian Robinson,RB/WR,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
charles-reid,Charles Reid,DB,,,,,,,,,,1.0,,,,,,,,,,,,19.0,10.0,,30.0,1.0,155.0,,,,,,3.9,8.0,8.0,2.0,31.0,,,,,,,,
deandre-brown,Deandre Brown,DL,0.0,1.0,0.0,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
dekoven-ware,Dekoven Ware,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
demarius-washington,Demarius Washington,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
devond-blair-jr,Devond Blair Jr.,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,0.0,18.0,1.0,,,,,,,,1.0,1.0,1.0,0.0,,
dominique-shoffner,Dominique Shoffner,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,15.0,0.0,23.0,2.0,,,,,,,,,,,,,
dreko-statham,Dreko Statham,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
everitt-cunningham,Everitt Cunningham,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,34.0,1.0,60.0,3.0,,,,,,,,,,,,,
jack-robinson,Jack Robinson,DL,,,,2.0,0.0,0.0,,,,,,4.0,49.8,0.0,0.0,249.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
jaden-sutton,Jaden Sutton,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
jai-jones,Jai Jones,LB,,,,,,,,,,3.0,,,,,,,,,,,,24.0,12.0,,36.0,3.0,170.0,,,,,,6.6,14.0,13.0,1.0,86.0,,,,,,,,
jaqae-alfred,Jaqae Alfred,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,29.0,0.0,35.0,2.0,,,,,,,,,,,,,
jo-el-shaw,Jo-El Shaw,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,0.0,27.0,1.0,6.1,19.0,7.0,2.0,43.0,,,,,,,,
jonathan-cardoza-chicas,Jonathan Cardoza-Chicas,K,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,5.0,,,,
jordan-barton,Jordan Barton,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
kevin-simmons,Kevin Simmons,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,17.0,0.0,21.0,2.0,5.0,11.0,4.0,0.0,20.0,,,,,,,,
khalil-trotman,Khalil Trotman,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,5.0,7.0,2.0,0.0,,
king-mwikuta,King Mwikuta,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
levonta-hall,Levonta Hall,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,13.0,1.0,40.0,4.0,,,,,,,,,,,,,
marco-lee,Marco Lee,RB,0.0,,,1.0,18.0,1.0,,,,,,8.0,50.0,0.0,2.0,300.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,5.0
marcus-brooks,Marcus Brooks,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,8.0,1.0,17.0,31.0,2.0,1.0,34.0,,,,,,,,
mclean-djouha,Mclean Djouha,OL,,,,,,,,,,,4.0,,,,,,,11.5,18.0,0.0,46.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,
patrick-mcsweeney,Patrick Mcsweeney,WR,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
ponce-deleon,Ponce Deleon,DB,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
sam-moala,Sam Moala,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,10.0,2.0,-0.5,2.0,4.0,0.0,-2.0,,,1.0,1.0,1.0,0.0,,
tabyus-taylor,Tabyus Taylor,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,,,,
tremell-gooden,Tremell Gooden,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,30.0,0.0,39.0,2.0,,,,,,,,1.0,1.0,1.0,0.0,,
vincent-espinoza,Vincent Espinoza,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
willie-caviness,Willie Caviness,K,,,,,,,,,,,1.0,,,,,,,15.0,15.0,0.0,15.0,,,,,,,11.5,12.0,0.0,23.0,2.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,
zack-brown,Zack Brown,DL/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
