player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,1.0,228.0,,,,,,,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,0.0,8.0,1.0,0.0,84.0,
bryce-perkins,Bryce Perkins,QB,,,,,,,,,,,,0.0,4.0,
gavin-cobb,Gavin COBB,WR,,,,,,,,,0.0,20.0,3.0,,,
ham-dst,HAM DST,DST,,,,1.0,,,,14.0,,,,,,3.0
ham-k,HAM K,K,1.0,30.0,,,,,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,,,1.0,240.0,,,,,0.0,6.0,
isaiah-wooden,Isaiah Wooden,WR,,,,,,,,,0.0,5.0,1.0,,,
jake-dolegala,Jake DOLEGALA,QB,,,0.0,,,0.0,0.0,,,,,0.0,5.0,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,1.0,64.0,5.0,,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,,,,0.0,31.0,2.0,0.0,10.0,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,0.0,90.0,7.0,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,30.0,2.0,,,
larry-rountree,Larry Rountree,RB,,,,,,,,,0.0,10.0,2.0,0.0,45.0,
marc-liegghio,Marc LIEGGHIO,K,1.0,30.0,,,,,,,,,,,,
maximilian-mang,Maximilian Mang,,,,,,,,,,0.0,3.0,1.0,,,
michael-chris-ike,Michael CHRIS-IKE,RB,,,,,,,,,0.0,4.0,1.0,,,
myron-mitchell,Myron Mitchell,WR,,,,,,,,,0.0,0.0,0.0,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,0.0,29.0,4.0,0.0,6.0,
ontaria-wilson,Ontaria Wilson,WR,,,,,,,,,1.0,39.0,2.0,,,
sergio-castillo,Sergio CASTILLO,K,1.0,69.0,,,1.0,,,,,,,,,
taylor-elgersma,Taylor Elgersma,QB,,,0.0,,,1.0,86.0,,,,,0.0,3.0,
tim-white,Tim WHITE,WR,,,,,,,,,0.0,27.0,5.0,,,
tre-ford,Tre FORD,QB,,,1.0,,,0.0,12.0,,,,,0.0,1.0,
tyson-middlemost,Tyson MIDDLEMOST,WR,,,,,,,,,0.0,7.0,1.0,,,
wpg-dst,WPG DST,DST,,,,1.0,,,,13.0,,,,,,2.0
wpg-k,WPG K,K,1.0,69.0,,,1.0,,,,,,,,,
wpg-qb,WPG QB,QB,,,1.0,,,1.0,127.0,,,,,0.0,7.0,
zach-collaros,Zach COLLAROS,QB,,,1.0,,,0.0,41.0,,,,,,,
