player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
antwane-grant,Antwane Grant,,,,,,2.0,2.0,94.0,,0.0,,,,,,,,,,,,,,,,15.0,11.4,34.0,15.0,591.0,84.4,52.0,7.4,2.0,15.0,9.0,0.0,18.0,2.6,609.0,,,,87.0
chase-fourcade,Chase Fourcade,QB,40.0,,,,0.0,0.0,4.0,0.0,,,,,,15.0,6.0,18.0,3.8,93.9,1.0,57.0,14.3,,,,,,,,,,,,-0.1,7.0,10.0,0.0,-1.0,-0.3,,,,,
corey-crawford,Corey Crawford,DB/OL/DL,,,,,0.0,0.0,48.0,,8.0,,,,,,,,,,,,,,,,6.0,9.0,15.0,6.0,63.0,12.6,7.0,1.4,1.4,5.0,11.0,2.0,15.0,3.0,78.0,,,,15.6
desmond-reece,Desmond Reece,WR/WR/DB,50.0,,,,1.0,1.0,70.0,0.0,285.0,0.0,0.0,25.0,15.8,4.0,2.0,0.0,-5.0,8.0,0.0,-20.0,-2.2,,0.0,0.0,10.0,10.9,38.0,10.0,413.0,45.9,38.0,4.2,3.3,5.0,7.0,1.0,23.0,2.6,721.0,,,,80.1
droell-greene,Droell Greene,DB/WR/DB,,,,,,,6.0,,3.0,,,,,,,,,,,,,,,,18.0,,,,7.0,,,,,,,,11.0,,0.0,,,,1.0
dustin-burns,Dustin Burns,OL/DL,,,,,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
harold-love,Harold Love,OL,,,,,,,4.0,,1.8,,,,,,,,,,,,,,,,7.0,,,,2.0,,,,,,,,5.0,,0.0,,,,0.0
kendrick-washington,Kendrick Washington,OL/DL/DL,100.0,,,,0.0,0.0,9.0,0.0,9.0,,,,,1.0,1.0,7.0,7.0,158.8,0.0,7.0,0.8,,,,8.0,,,,2.0,,,,,0.0,0.0,1.0,6.0,0.0,4.0,,,,13.0
kevin-thompson,Kevin Thompson,DL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,1.0,,0.0,,,,0.0
kewan-alfred,Kewan Alfred,LB/DL,,,,,,,8.0,,2.4,,,,,,,,,,,,,,,,19.0,,,,7.0,,,,,,,,12.0,,3.0,,,,17.0
lenroy-neysmith,Lenroy  Neysmith,WR/FB/LB,,,,,0.0,0.0,9.0,,5.0,,,,,,,,,,,,,,,,45.0,4.0,4.0,0.0,16.0,0.4,1.0,0.1,,0.0,0.0,1.0,29.0,0.0,4.0,,,,4.0
lonnie-outlaw,Lonnie Outlaw,WR/WR/DB,,,,,0.0,0.0,84.0,,0.0,,,,,,,,,,,,,,,,12.0,10.9,29.0,12.0,676.0,75.1,62.0,6.9,0.0,0.0,1.0,0.0,9.3,0.0,676.0,,,,75.1
marvin-ross,Marvin Ross,DB/WR/DB,,,,,,,9.0,,16.0,0.0,0.0,16.0,8.0,,,,,,,,,,0.0,0.0,38.0,-10.0,0.0,0.0,8.0,-1.1,1.0,0.1,,,,,30.0,,6.0,,,,7.0
mason-espinosa,Mason Espinosa,QB,69.6,,,,8.0,4.0,24.0,2.0,0.0,,,,,312.0,217.0,38.0,7.1,187.5,56.0,2230.0,247.8,,,,0.0,,,,4.0,,,,-1.6,8.0,35.0,4.0,2.7,-6.2,0.0,,,,0.0
maurice-leggett,Maurice Leggett,DB/LB,,,,,,,1.0,,9.0,,,,,,,,,,,,,,,,9.0,,,,1.0,,,,,,,,8.0,,0.0,,,,0.0
maurice-swain,Maurice Swain,OL/DL,,,,,,,2.0,,1.5,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,0.0,,0.0,,,,0.0
oliver-lumpkin,Oliver Lumpkin,OL/DL,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.7,,0.0,,,,0.0
rodney-hall,Rodney Hall,WR/DB,,,,,,,9.0,,4.1,,,,,,,,,,,,,,,,37.0,,,,10.0,,,,,,,,27.0,,0.0,,,,1.0
romond-deloatch,Romond Deloatch,WR/WR/DB,,0.0,0.0,0.0,,,67.0,,3.0,,,,,,,,,,,,,1.0,,,11.0,8.4,20.0,11.0,386.0,55.1,46.0,6.6,,,,,9.6,,386.0,1.0,1.0,100.0,55.1
sam-dobbs,Sam Dobbs,WR/DB,,,,,0.0,0.0,26.0,,15.0,1.0,0.0,10.0,7.5,,,,,,,,,,0.0,0.0,5.0,10.8,26.0,3.0,86.0,9.6,8.0,0.9,4.3,8.0,4.0,0.0,17.0,1.9,118.0,,,,13.1
ulric-jones,Ulric Jones,OL/DL/DL,,,,,,,9.0,,3.4,,,,,,,,,,,,,,,,31.0,,,,12.0,,,,,,,,19.0,,8.0,,,,31.0
