player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-lavarias,Aaron Lavarias,DE/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrian-tracy,Adrian Tracy,DL/DB,,3.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alan-michael-cash,Alan-Michael Cash,DT/DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-fantuz,Andrew Fantuz,WR,,,,,,,,,,,,,13.0,2.0,2.0,17.0,18.0,,,,,,,,,,,,,,,,,,,,
anthony-woodson,Anthony Woodson,RB,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,4.0,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,24.0,6.0,8.0,15.0,63.0,,,,,,,,,,,,,,,,,,,,
billy-parker,Billy Parker,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,72.0,4.0,4.0,95.0,1.0,272.0,,,,,,7.0,,,3.0,2.0,43.0,6.0,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,15.0,1.0,1.0,9.0,15.0,29.0,1.0,,,1.0,29.0,,,,,1.0,6.0,,1.0,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,31.0,4.0,5.0,57.0,60.0,,,,,,,10.0,7.0,,29.0,,,,,,,,,,
