player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,2.0,,,1.0,186.0,,,,,1.0,,
alijah-holder,Alijah Holder,DB/FS/S,,,1.0,,,,,,,,,2.0
antoine-brooks,Antoine Brooks,DB/CB,,,,,,,,,,,,5.0
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,,,,,1.0
austin-proehl,Austin Proehl,WR,,,,,,,13.0,2.0,,,,
battlehawks-dst,Battlehawks DST,DST,,1.0,,,,,,,,,2.0,
battlehawks-qb,Battlehawks QB,QB,2.0,,,1.0,186.0,,,,,1.0,,
ben-dinucci,Ben DiNucci,QB,1.0,,,2.0,260.0,,,,1.0,38.0,,
blake-jackson,Blake Jackson,WR,,,,,,,15.0,2.0,,,,
brian-hill,Brian Hill,RB,,,,,,,,,,11.0,,
carson-wells,Carson Wells,OLB/LB,,,,,,,,,,,1.0,4.0
charlie-taumoepeau,Charlie Taumoepeau,TE,,,,,,,17.0,1.0,,9.0,,
chris-jones,Chris Jones,DB/DT,,,,,,,,,,,,1.0
clarence-hicks,Clarence Hicks,DL/LB,,,1.0,,,,,,,,,1.0
damion-willis,Damion Willis,WR,,,,,,,5.0,1.0,,,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,1.0,60.0,6.0,,,,
elijah-hamilton,Elijah Hamilton,DB,,,,,,,,,,,,2.0
elorm-lumor,Elorm Lumor,DE/DL,,,,,,,,,,,1.0,1.0
freedom-akinmoladun,Freedom Akinmoladun,DE/DL,,,1.0,,,,,,,,,
gary-jennings,Gary Jennings,WR,,,,,,,13.0,2.0,,35.0,,
gelen-robinson,Gelen Robinson,DL,,,,,,,,,,,,1.0
jahcour-pearson,Jahcour Pearson,WR,,,,,,1.0,115.0,7.0,,,,
jordan-veasy,Jordan Veasy,WR,,,,,,1.0,9.0,2.0,,,,
josh-gordon,Josh Gordon,WR,,,,,,,46.0,2.0,,,,
juwan-green,Juwan Green,WR,,,,,,,30.0,2.0,,,,
kareem-walker,Kareem Walker,RB,,,,,,,1.0,1.0,,3.0,,
kelvin-mcknight,Kelvin McKnight,WR,,,,,,,18.0,1.0,,,,
lacale-london,Lacale London,DE/DL,,,,,,,,,,,,2.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,2.0
lavert-hill,Lavert Hill,DB/CB,,,,,,,,,,,,6.0
linden-stephens,Linden Stephens,DB,,,1.0,,,,,,,,,
lukas-denis,Lukas Denis,DB/FS/S,,1.0,2.0,,,,,,,,,10.0
marcell-ateman,Marcell Ateman,WR,,,,,,,99.0,7.0,,,,
mike-hampton,Mike Hampton,DB/CB,,,1.0,,,,,,,,,6.0
mykael-wright,Mykael Wright,DB,,,1.0,,,,,,,,,5.0
nate-meadors,Nate Meadors,DB/FS,,,,,,,,,,,,1.0
niko-lalos,Niko Lalos,DE/DL,,,,,,,,,,,1.0,4.0
phillip-lindsay,Phillip Lindsay,RB,,,,,,,2.0,1.0,,17.0,,
qwynnterrio-cole,Qwynnterrio Cole,DB/FS,,1.0,1.0,,,,,,,,,2.0
sea-dragons-dst,Sea Dragons DST,DST,,1.0,,,,,,,,,2.0,
sea-dragons-qb,Sea Dragons QB,QB,1.0,,,2.0,260.0,,,,1.0,38.0,,
sebastian-brandt,Sebastian Brandt,DB/CB,,,,,,,,,,,,3.0
silas-kelly,Silas Kelly,LB,,,,,,,,,,,,3.0
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,,4.0,,
tj-hammonds,T.J. Hammonds,WR,,,,,,,3.0,2.0,1.0,59.0,,
travis-feeney,Travis Feeney,OLB/LB/DL,,,,,,,,,,,1.0,2.0
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,4.0
tuzar-skipper,Tuzar Skipper,OLB/LB,,,,,,,,,,,1.0,2.0
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,5.0
zafir-kelly,Zafir Kelly,DB,,,1.0,,,,,,,,,
