player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
kevin-simmons,Kevin Simmons,DB,1.0,,,,,,,,,,,,,,3.0,,,,,,,20.3,29.0,0.0,61.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
marco-lee,Marco Lee,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
marcus-brooks,Marcus Brooks,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,5.0,,
michael-miller,Michael Miller,DB,6.0,1.0,0.0,,,,,,,,8.0,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,5.0,0.0,0.0
mykell-yancie,Mykell Yancie,DL,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,0.5,1.0,,
quantaye-battle,Quantaye Battle,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,13.0,1.0,,,,,,,,,,,
sean-connaghan,Sean Connaghan,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,25.0,0.0,66.0,4.0,,,,,,,,,,,
tabyus-taylor,Tabyus Taylor,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,1.7,8.0,6.0,0.0,10.0,1.0,1.0,,,,
tremell-gooden,Tremell Gooden,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
vincent-espinoza,Vincent Espinoza,QB,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,26.0,19.0,,25.0,2.0,188.0,,-5.0,0.0,0.0,-5.0,1.0,4.0,4.0,1.0,0.0,4.0,,,,,,
willie-caviness,Willie Caviness,K,2.0,1.0,0.0,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
zack-brown,Zack Brown,DL/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.5,1.0,,
