player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-donadio,Alex Donadio,P,,,4.0,4.0,,,2.0,,,,4.0,,29.0,-1.0
antoine-rousseau,Antoine Rousseau,P,1.0,,23.0,27.0,,,5.0,1.0,,,29.0,1.0,66.0,173.0
benjamin-sadok,Benjamin Sadok,P,1.0,,23.0,25.0,,1.0,2.0,,,,26.0,1.0,122.0,87.0
cavin-coulbury,Cavin Coulbury,P,,,6.0,6.0,,,,,,,6.0,,27.0,16.0
charles-guay,Charles Guay,P,,,2.0,2.0,,,,,,,2.0,,18.0,
chris-bartoli,Chris Bartoli,P,,1.0,,1.0,,,,,,,1.0,,,5.0
christophe-tremblay-joncas,Christophe Tremblay-Joncas,P,3.0,1.0,18.0,16.0,,1.0,,1.0,,,18.0,1.0,221.0,110.0
colin-sunde,Colin Sunde,P,4.0,,21.0,27.0,,,1.0,2.0,,,27.0,,1.0,285.0
eliott-heloir,Eliott Heloir,P,1.0,1.0,4.0,5.0,,,,,6.0,,6.0,1.0,-16.0,71.0
gabe-colton,Gabe Colton,P,,,1.0,1.0,,,,,2.0,,1.0,,5.0,-2.0
gustav-haflin,Gustav Haflin,P,,,2.0,1.0,,1.0,,,,,1.0,,-4.0,13.0
ivan-tran,Ivan Tran,P,,,2.0,2.0,,,,,,,2.0,,4.0,6.0
jac-carreiro,Jac Carreiro,P,1.0,,3.0,3.0,,,,1.0,5.0,,3.0,,19.0,44.0
julien-bernat,Julien Bernat,P,1.0,,4.0,3.0,1.0,1.0,,1.0,,,3.0,,52.0,73.0
kevin-quinlan,Kevin Quinlan,P,4.0,,22.0,24.0,1.0,,,1.0,,1.0,25.0,1.0,106.0,314.0
luca-harwood,Luca Harwood,P,,,1.0,1.0,,,1.0,,,,1.0,,5.0,19.0
max-ayad,Max Ayad,P,,,,,,,,,3.0,,,,,
oscar-graff,Oscar Graff,P,2.0,1.0,4.0,4.0,,,,,,,4.0,,10.0,33.0
phillip-joyce,Phillip Joyce,P,1.0,,1.0,2.0,,,,,1.0,,2.0,,,1.0
phillipe-le-bourdais,Phillipe Le Bourdais,P,1.0,,9.0,5.0,,4.0,2.0,,,,5.0,,187.0,21.0
raphael-salvas,Raphael Salvas,P,,,3.0,2.0,,1.0,,,,,2.0,,54.0,18.0
ray-tetreault,Ray Tetreault,P,1.0,,7.0,5.0,,2.0,1.0,1.0,,,5.0,,157.0,72.0
rocco-linehan,Rocco Linehan,P,4.0,,16.0,18.0,,,2.0,2.0,,,19.0,1.0,121.0,191.0
simon-carapella,Simon Carapella,P,,,11.0,7.0,,4.0,1.0,,,,7.0,,191.0,72.0
tanner-halkyard,Tanner Halkyard,P,1.0,,4.0,2.0,,2.0,,1.0,,,2.0,,90.0,54.0
thomas-lalonde-landry,Thomas Lalonde-Landry,P,,,1.0,1.0,,,1.0,,,,1.0,,12.0,-14.0
william-st-pierre,William St-Pierre,P,,,11.0,7.0,1.0,4.0,1.0,,,,7.0,,229.0,36.0
