player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,83.0,
alex-hale,Alex Hale,K/OL/PK,4.0,32.0,,,1.0,,,,,,,,,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,,,0.0,13.0,1.0,,,
ham-dst,HAM DST,DST,,,,2.0,,,,38.0,,,,,,1.0
ham-k,HAM K,K,,61.0,,,,,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,,,0.0,169.0,,,,,0.0,57.0,
jake-dolegala,Jake DOLEGALA,QB,,,1.0,,,0.0,122.0,,,,,0.0,33.0,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,0.0,3.0,1.0,0.0,7.0,
johnny-johnson-iii,Johnny Johnson III,WR,,,,,,,,,,7.0,1.0,,,
keesean-johnson,KeeSean Johnson,WR,,,,,,,,,0.0,41.0,4.0,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,0.0,38.0,5.0,,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,,,,0.0,9.0,1.0,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,1.0,78.0,6.0,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,0.0,56.0,5.0,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,10.0,1.0,,,
larry-rountree,Larry Rountree,RB,,,,,,,,,0.0,31.0,6.0,0.0,36.0,
marc-liegghio,Marc LIEGGHIO,K,,61.0,,,,,,,,,,,,
maximilian-mang,Maximilian Mang,,,,,,,,,,0.0,1.0,1.0,,,
myron-mitchell,Myron Mitchell,WR,,,,,,,,,0.0,21.0,2.0,,,
ssk-dst,SSK DST,DST,,,,1.0,,,,7.0,,,,,,3.0
ssk-k,SSK K,K,4.0,32.0,,,1.0,,,,,,,,,
ssk-qb,SSK QB,QB,,,2.0,,,2.0,211.0,,,,,2.0,54.0,
samuel-emilus,Samuel Emilus,WR,,,,,,,,,1.0,72.0,6.0,,,
tommy-stevens,Tommy STEVENS,QB,,,0.0,,,0.0,9.0,,,,,2.0,54.0,
tre-ford,Tre FORD,QB,,,0.0,,,0.0,47.0,,,,,0.0,24.0,
trevor-harris,Trevor HARRIS,QB,,,2.0,,,2.0,211.0,,,,,,,
