player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,,,13.0,3.0,3.0,,3.0,27.0,,,,,,,,,,,,,,,,,,,,
jamie-newman,Jamie Newman,QB,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,6.0,1.0,1.0,,,,,,
jared-beeksma,Jared Beeksma,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,3.0,,,,,,,,,,,
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,,,,65.0,6.0,4.0,24.0,298.0,,,,,,,1.0,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DL/DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,,,,3.0,3.0,1.0,66.0,74.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
kameron-kelly,Kameron Kelly,S/SS/DB,1.0,45.0,,3.0,3.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenneth-durden,Kenneth Durden,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,,,,,,,24.0,2.0,2.0,,20.0,32.0,,,,,,,,,,,,,,,,,,,,
kyle-wilson,Kyle Wilson,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawrence-woods,Lawrence Woods,DB,,,,,,,,,,,,,,,,,,,,,21.0,3.0,,,46.0,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,11.0,1.0,3.0,,,11.0,,,,,,,,,,,,,,,,,,,,
malik-carney,Malik Carney,DB/DE,,,1.0,3.0,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-antoine-dequoy,Marc-Antoine Dequoy,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mason-bennett,Mason Bennett,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,,,,,39.0,27.0,,19.0,1.0,2.0,303.0,8.0,1.0,1.0,,8.0,8.0,,,,,,1.0,2.0,,2.0,,,,,,,,,,,
micah-awe,Micah Awe,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-domagala,Michael Domagala,K/P,,,,,,,,,,,,,,,,,,,,,80.0,5.0,5.0,113.0,351.0,,,,,,,,,,,,,,,
michael-wakefield,Michael Wakefield,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,WR/RB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-usher,Nick Usher,DL/DB,,,1.0,4.0,4.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-white,Reggie White,WR,,,,,,,,,,,,,,,,3.0,4.0,1.0,20.0,81.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
richard-leonard,Richard Leonard,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,,,,5.0,1.0,2.0,,5.0,5.0,,,,,,2.0,7.0,,12.0,,,,,,,,,,,
seth-small,Seth Small,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,3.0,2.0,51.0,9.0,3.0,3.0
steven-dunbar,Steven Dunbar,WR,,,,,,,,,,,,,,,13.0,4.0,8.0,,5.0,37.0,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DB/DT,,,1.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-white,Tim White,WR,,,,,,,,,,,,,,,,11.0,14.0,2.0,87.0,145.0,19.0,1.0,,,19.0,1.0,12.0,,12.0,,2.0,12.0,,2.0,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,31.0,24.0,1.0,24.0,2.0,3.0,382.0,,,,,,,,,,,,1.0,7.0,,7.0,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrice-beverette,Tyrice Beverette,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,,,,,,,,23.0,3.0,4.0,,34.0,51.0,,,,,,,,,,,,,,,,,,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,,,,,,,14.0,2.0,2.0,,22.0,22.0,,,,,,6.0,15.0,,28.0,,,,,,,,,,,
wes-sutton,Wes Sutton,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,11.0,1.0,,,11.0,,,,,,,,,,,,,,,
