player_id,player_name,positions,1pt_conversion,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-ellis,Alex Ellis,TE,,,,,,,,,,0.0,28.0,3.0,,,
alex-mollette,Alex Mollette,C,,,,,,,,,,1.0,40.0,1.0,,,
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,0.0,1.0,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,1.0,28.0,1.0,0.0,47.0,
brahmas-dst,Brahmas DST,DST,,,,,1.0,,,,12.0,,,,,,4.0
brahmas-qb,Brahmas QB,QB,1.0,,,0.0,,,2.0,158.0,,,,,1.0,6.0,
brandon-smith-2,Brandon Smith,WR,,,,,,,,,,0.0,47.0,4.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,0.0,28.0,4.0,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,0.0,4.0,1.0,0.0,21.0,
chase-garbers,Chase Garbers,QB,1.0,,,0.0,,,2.0,158.0,,,,,1.0,6.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,,0.0,0.0,0.0,,,
cody-latimer,Cody Latimer,TE,,,,,,,,,,0.0,7.0,1.0,,,
defenders-dst,Defenders DST,DST,,,1.0,,0.0,,,,27.0,,,,,,1.0
defenders-k,Defenders K,QB/K,,160.0,,1.0,,,0.0,235.0,,,,,0.0,10.0,
john-lovett,John Lovett,RB,2.0,,,,,,,,,0.0,9.0,1.0,0.0,13.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,1.0,,,,1.0,61.0,8.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,1.0,,,0.0,235.0,,,,,,10.0,
justin-smith,Justin Smith,WR,1.0,,,,,,,,,0.0,13.0,2.0,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,0.0,14.0,4.0,0.0,4.0,
kelvin-harmon,Kelvin Harmon,WR,,,,,,,,,,0.0,27.0,3.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,0.0,40.0,5.0,0.0,9.0,
matthew-mccrane,Matthew McCrane,K,,160.0,,,,,,,,,,,,,
pooka-williams,Pooka Williams,RB/WR,,,,,,,,,,,,2.0,,9.0,
ty-scott,Ty Scott,WR,,,,,,,,,,0.0,87.0,4.0,,,
