player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
andre-miller,Andre Miller,WR,,,,,,,,,0.0,39.0,2.0,,,
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,0.0,77.0,4.0,,,
cody-fajardo,Cody FAJARDO,QB,,,,0.0,,0.0,226.0,,,,,1.0,29.0,
cole-spieker,Cole SPIEKER,WR,,,,,,,,,0.0,26.0,2.0,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,0.0,59.0,4.0,,,
dru-brown,Dru BROWN,QB,,,,2.0,,0.0,69.0,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,0.0,41.0,5.0,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,0.0,,1.0,218.0,,,,,0.0,7.0,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,0.0,11.0,
jose-maltos,Jose MALTOS,K,,1.0,60.0,,,,,,,,,,,
justin-hardy,Justin HARDY,WR,,,,,,,,,1.0,117.0,9.0,0.0,8.0,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,0.0,26.0,2.0,,,
lewis-ward,Lewis Ward,K,,,62.0,,,,,,,,,,,
mtl-dst,MTL DST,DST,1.0,,,,1.0,,,19.0,,,,,,3.0
mtl-k,MTL K,K,,1.0,60.0,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,0.0,,0.0,226.0,,,,,1.0,29.0,
nick-mardner,Nick Mardner,WR,,,,,,,,,0.0,20.0,3.0,,,
ott-dst,OTT DST,DST,,,,,0.0,,,0.0,,,,,,0.0
ott-k,OTT K,K,,,62.0,,,,,,,,,,,
ott-qb,OTT QB,QB,,,,2.0,,1.0,287.0,,,,,0.0,7.0,
reggie-white-jr,Reggie WHITE JR.,WR,,,,,,,,,0.0,8.0,1.0,,,
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,,,,,0.0,207.0,
tyler-snead,Tyler SNEAD,WR,,,,,,,,,0.0,40.0,3.0,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,0.0,39.0,3.0,0.0,36.0,
