player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-symonds,A Symonds,,47.0,7.0,1.0,5.0,71.0,4.0,60.0,2.0,0.0,29.0,0.0,1.0,,1.0
ac-gilchrist,AC Gilchrist,,5.0,1.0,0.0,1.0,4.0,0.0,,,,,,,,1.0
bb-mccullum,BB McCullum,,68.0,4.0,0.0,9.0,47.0,0.0,,,,,,,,1.0
cd-mcmillan,CD McMillan,,27.0,2.0,0.0,6.0,18.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,,1.0
cl-cairns,CL Cairns,,1.0,0.0,0.0,7.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0
cz-harris,CZ Harris,,51.0,1.0,0.0,8.0,26.0,0.0,42.0,1.0,0.0,36.0,1.0,0.0,,1.0
dl-vettori,DL Vettori,,42.0,1.0,1.0,10.0,29.0,0.0,60.0,0.0,0.0,52.0,0.0,1.0,,1.0
dr-martyn,DR Martyn,,71.0,9.0,1.0,4.0,60.0,0.0,,,,,,,,1.0
ds-lehmann,DS Lehmann,,,,,,,,30.0,0.0,0.0,16.0,1.0,0.0,,1.0
gd-mcgrath,GD McGrath,,,,,,,,60.0,0.0,0.0,39.0,3.0,2.0,,1.0
hjh-marshall,HJH Marshall,,2.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
jdp-oram,JDP Oram,,27.0,2.0,0.0,5.0,15.0,0.0,54.0,2.0,1.0,34.0,1.0,0.0,,1.0
jn-gillespie,JN Gillespie,,,,,,,,54.0,1.0,0.0,46.0,1.0,4.0,1.0,1.0
kd-mills,KD Mills,,3.0,0.0,1.0,11.0,3.0,0.0,32.0,0.0,0.0,34.0,0.0,0.0,,1.0
mj-clarke,MJ Clarke,,,,,,,,,,,,,,1.0,1.0
ml-hayden,ML Hayden,,73.0,7.0,0.0,3.0,47.0,1.0,,,,,,,,1.0
ms-kasprowicz,MS Kasprowicz,,,,,,,,60.0,1.0,0.0,32.0,3.0,0.0,1.0,1.0
nj-astle,NJ Astle,,19.0,4.0,0.0,2.0,18.0,0.0,,,,,,,,1.0
rt-ponting,RT Ponting,,29.0,2.0,0.0,2.0,14.0,0.0,,,,,,,,1.0
sb-styris,SB Styris,,11.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,9.0,1.0,0.0,,1.0
sp-fleming,SP Fleming,,51.0,5.0,0.0,1.0,29.0,0.0,,,,,,,,1.0
sr-watson,SR Watson,,,,,,,,36.0,0.0,2.0,32.0,0.0,0.0,,1.0
