player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
dalton-cole,Dalton Cole,QB,1.0,3.0,160.0,,,,,
josiah-king,Josiah King,RB,,,,0.0,4.0,1.0,0.0,-2.0
quintavius-workman,Quintavius Workman,WR,,,,1.0,98.0,8.0,,
