player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,,28.0,5.0,6.0,,58.0,70.0,,,,,,11.0,7.0,,46.0,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,,79.0,4.0,4.0,75.0,257.0,,,,,,,10.0,,,3.0,2.0,23.0,9.0,3.0,3.0
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,53.0,2.0,5.0,1.0,4.0,80.0,,,,,,1.0,,1.0,4.0,,1.0,12.0,1.0,2.0,,,,,,
brandon-barlow,Brandon Barlow,DL/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,18.0,4.0,5.0,,8.0,42.0,,,,,,,,,,,,,,,,,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,,,,,,,,,17.0,3.0,5.0,,12.0,32.0,,,,,,,,,,,,,,,,,,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,,21.0,,,,,,,,,,,
david-ungerer,David Ungerer,WR,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,10.0,,,,,,,,,,,,,,,
dewayne-hendrix,Dewayne Hendrix,DL/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-jackson,Don Jackson,RB,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,4.0,,9.0,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DB/DT,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix-garand-gauthier,Felix Garand-Gauthier,FB/RB,,,,1.0,,1.0,,,,,,,,,,,9.0,1.0,1.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,,1.0,8.0,,8.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-morton,Jalen Morton,QB,,,,1.0,,1.0,,,6.0,2.0,1.0,9.0,,,,13.0,,,,,,,,,,,,2.0,3.0,,3.0,,,,,,,,,,,
jamal-peters,Jamal Peters,DB,2.0,39.0,,3.0,,3.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamie-newman,Jamie Newman,QB,,,,,,,,,25.0,14.0,1.0,36.0,14.0,2.0,,171.0,,,,,,,,,,,,6.0,7.0,,24.0,,,,,,,,,,,
jeremiah-haydel,Jeremiah Haydel,WR,,,,,,,,,,,,,,,,,,,,,,,28.0,2.0,,,44.0,,,,,,,,,,,,,,,
john-haggerty,John Haggerty,K/P,,,,,,,,,,,,,,,,,,,,,,,83.0,9.0,8.0,64.0,479.0,,,,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DL/DB/DE,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-mccleod,Julian McCleod,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,1.0,,,4.0,1.0,4.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
kameron-kelly,Kameron Kelly,S/SS/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,,,,,,,,,15.0,1.0,2.0,,9.0,15.0,,,,,,,,,,,,,,,,,,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,,,,,,,,23.0,3.0,5.0,,23.0,45.0,,,,,,1.0,2.0,,2.0,,,,,,,,,,,
kyle-wilson,Kyle Wilson,LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,,15.0,1.0,1.0,,9.0,15.0,,,,,,,,,,,,,,,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,9.0,29.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
mason-bennett,Mason Bennett,DB/DE,,,1.0,4.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maurice-carnell,Maurice Carnell,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,,,,34.0,22.0,2.0,53.0,11.0,2.0,2.0,298.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
