player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-gravatt,Alex Gravatt,P,1.0,,,2.0,1.0,,1.0,,,,,1.0,,13.0,
andrew-meshnick,Andrew Meshnick,P,2.0,,,16.0,12.0,,4.0,,1.0,,,12.0,,98.0,78.0
andrew-sjogren,Andrew Sjogren,P,,1.0,,22.0,17.0,,5.0,3.0,,,,17.0,,294.0,36.0
anthony-gutowsky,Anthony Gutowsky,P,,1.0,1.0,3.0,2.0,,2.0,,,,,2.0,,11.0,3.0
asher-lantz,Asher Lantz,P,1.0,1.0,,4.0,4.0,,,,,,,4.0,,27.0,39.0
avery-johnson,Avery Johnson,P,,,,8.0,6.0,,2.0,,,,,6.0,,53.0,-1.0
benjamin-preiss,Benjamin Preiss,P,2.0,1.0,,31.0,28.0,1.0,1.0,1.0,1.0,,,31.0,3.0,222.0,209.0
biz-schlaefer,Biz Schlaefer,P,1.0,,,2.0,2.0,,,,,4.0,,2.0,,46.0,7.0
cal-tornabene,Cal Tornabene,P,,,,2.0,3.0,,,1.0,,,,4.0,1.0,25.0,13.0
daniel-garlock,Daniel Garlock,P,1.0,,,13.0,16.0,,,2.0,1.0,,,16.0,,93.0,162.0
david-nester,David Nester,P,2.0,,,10.0,6.0,,1.0,1.0,,,,9.0,3.0,75.0,69.0
dex-dremann,Dex Dremann,P,2.0,3.0,,22.0,19.0,,1.0,,1.0,11.0,,22.0,3.0,47.0,152.0
didzis-malderis,Didzis Malderis,P,,1.0,,8.0,6.0,1.0,3.0,1.0,,,,6.0,,124.0,2.0
henry-goldenberg,Henry Goldenberg,P,3.0,1.0,,28.0,30.0,,,,1.0,,1.0,33.0,3.0,130.0,198.0
isaiah-moore,Isaiah Moore,P,,,,3.0,2.0,,1.0,,,,,3.0,1.0,33.0,-23.0
jace-bruner,Jace Bruner,P,1.0,1.0,,9.0,9.0,,,1.0,,,,9.0,,72.0,22.0
jack-kelly,Jack Kelly,P,,,,17.0,15.0,,1.0,,,,,16.0,1.0,64.0,23.0
jack-shanahan,Jack Shanahan,P,3.0,,,10.0,10.0,,,,1.0,4.0,,11.0,1.0,75.0,88.0
jacob-wham,Jacob Wham,P,1.0,2.0,,6.0,5.0,,1.0,1.0,,,,6.0,1.0,115.0,7.0
jake-carrico,Jake Carrico,P,,3.0,,10.0,9.0,,2.0,1.0,,,,9.0,,29.0,62.0
jake-steslicki,Jake Steslicki,P,,,,30.0,30.0,,,,,,,32.0,,193.0,59.0
james-sykora,James Sykora,P,,1.0,,,3.0,,,,,,,3.0,,,3.0
jerry-kelly,Jerry Kelly,P,,1.0,,2.0,3.0,,,1.0,,,,3.0,,3.0,20.0
jesse-johnson,Jesse Johnson,P,,1.0,,18.0,15.0,,3.0,1.0,,,,15.0,,208.0,16.0
joe-leibforth,Joe Leibforth,P,1.0,3.0,,4.0,2.0,,2.0,1.0,,,,2.0,,61.0,8.0
joshua-wilson,Joshua Wilson,P,3.0,1.0,,12.0,18.0,,,1.0,,,,20.0,2.0,26.0,136.0
kai-delorenzo,Kai DeLorenzo,P,1.0,,,14.0,14.0,,,4.0,2.0,17.0,,14.0,,104.0,175.0
kelsen-alexander,Kelsen Alexander,P,3.0,,,13.0,15.0,,,2.0,,,,16.0,1.0,37.0,145.0
luke-brennan,Luke Brennan,P,1.0,1.0,,15.0,18.0,,1.0,1.0,1.0,4.0,,19.0,1.0,-10.0,114.0
luke-marks,Luke Marks,P,1.0,,,6.0,4.0,,3.0,,1.0,3.0,,4.0,,117.0,29.0
matt-goetsch,Matt Goetsch,P,,,,1.0,,,,,,,,1.0,1.0,48.0,
milan-rivas,Milan Rivas,P,1.0,,,15.0,16.0,,1.0,2.0,,,,17.0,,0.0,77.0
nick-pappas,Nick Pappas,P,,,,2.0,2.0,,,,,,,2.0,,15.0,1.0
nico-lake,Nico Lake,P,3.0,,,33.0,38.0,,,,,,,38.0,,-28.0,181.0
sam-kaminsky,Sam Kaminsky,P,1.0,,,52.0,55.0,,,2.0,1.0,,,60.0,4.0,83.0,240.0
ted-schewe,Ted Schewe,P,1.0,,,15.0,17.0,,3.0,,,,,18.0,1.0,168.0,-5.0
victor-luo,Victor Luo,P,,,,32.0,33.0,,,5.0,1.0,,,35.0,2.0,85.0,232.0
wyatt-mekler,Wyatt Mekler,P,2.0,,,37.0,41.0,2.0,,2.0,,,,42.0,1.0,33.0,239.0
yipeng-wang,Yipeng Wang,P,,1.0,,4.0,4.0,,1.0,,,,,5.0,1.0,28.0,8.0
