player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,misc_fum,misc_lost,misc_td,misc_tot,recv_tar,ret_fc,ret_lg,ret_num,ret_yds,score_fr,score_pts,score_tot
eddy-wilson,Eddy Wilson,DB,,,2.0,2.0,,,,,,,,,,,,,
jeremy-faulk,Jeremy Faulk,DB/DL,3.0,1.0,4.0,7.0,4.0,,,,,,,,,,,,
quan-bray,Quan Bray,WR/RB,,,,,,1.0,1.0,,,1.0,2.0,11.0,3.0,19.0,,,
shaheed-salmon,Shaheed Salmon,LB/DB,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,6.0,1.0
