player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alize-mack,Alize Mack,TE,,,,,,,,,19.0,3.0,,,,
andrew-jamiel,Andrew Jamiel,WR,,,,,,,,1.0,7.0,2.0,,,,
brahmas-dst,Brahmas DST,DST,,,1.0,,,,,,,,,,3.0,
brahmas-qb,Brahmas QB,QB,,,,,,1.0,302.0,,,,,6.0,,
caevon-patton,Caevon Patton,DE/DL,,,,,,,,,,,,,,5.0
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,16.0,2.0,,,,
dasean-downey,Da\'Sean Downey,DB/LB,,,,,,,,,,,,,0.5,1.0
deddrick-thomas,Deddrick Thomas,WR,,,,,,,,,5.0,1.0,,4.0,,
delontae-scott,Delontae Scott,OLB/DL,,,,,,,,,,,,,1.0,3.0
deondre-francois,Deondre Francois,QB,,,,,,1.0,20.0,,,,,7.0,,
devin-darrington,Devin Darrington,RB,,,,,,,,,1.0,1.0,1.0,133.0,,
drew-beesley,Drew Beesley,DE/DL,,,1.0,,,,,,,,,,1.5,4.0
eli-rogers,Eli Rogers,WR,,,,,,,,,9.0,2.0,,,,
fred-brown,Fred Brown,WR,,,,,,,,,5.0,1.0,,,,
gerald-willis,Gerald Willis,DL,,,,,,,,,,,,,,5.0
guardians-dst,Guardians DST,DST,1.0,,,,,,,,,,,,1.0,
guardians-qb,Guardians QB,QB,,1.0,,,,2.0,67.0,,,,,17.0,,
jack-coan,Jack Coan,QB,,,,,,1.0,302.0,,,,,6.0,,
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,,,,3.0
jacques-patrick,Jacques Patrick,RB,,,,1.0,,,,,50.0,5.0,1.0,80.0,,
jon-hilliman,Jon Hilliman,RB,,,,,,,,,47.0,6.0,,10.0,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,1.0,4.0,1.0,,,,1.0
jordan-williams,Jordan Williams,DB/MLB/OT/LB/DL/DE,,,,,,,,,,,,,,11.0
kd-cannon,K.D. Cannon,WR,,,,,,,,,69.0,1.0,,,,
landen-akers,Landen Akers,WR,,,,,,,,,17.0,3.0,,,,
logan-carter,Logan Carter,TE,,,,,,,,,8.0,1.0,,,,
luq-barcoo,Luq Barcoo,CB/DB,,,,,1.0,,,,,,,,,1.0
marcus-murphy-2,Marcus Murphy,DB,,,,,,,,,,,,,,3.0
matt-elam,Matt Elam,DB,,,,,,,,,,,,,,4.0
najeem-hosein,Najeem Hosein,DB,,,,,,,,,,,,,,3.0
nick-coe,Nick Coe,DL,,,,,,,,,,,,,,3.0
nick-holley,Nick Holley,RB/WR,,,,,,,,,105.0,4.0,,,,1.0
quinten-dormady,Quinten Dormady,QB,,1.0,,,,1.0,47.0,,,,,10.0,,
ranthony-texada,Ranthony Texada,DB,,,,,1.0,,,,,,,,,1.0
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,,,,3.0
ryan-becker,Ryan Becker,TE,,,,,,,,,17.0,2.0,,,,
stansly-maponga,Stansly Maponga,DB/DL,1.0,,,,,,,,,,,,,3.0
tj-vasher,T.J. Vasher,WR,,,,,,,,,17.0,1.0,,,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,,,,5.0
terrance-plummer,Terrance Plummer,LB,,,,,,,,,,,,,,10.0
terrance-smith,Terrance Smith,LB,,,,,,,,,,,,,1.0,4.0
travis-toivonen,Travis Toivonen,WR,,,,,,,,1.0,42.0,2.0,,,,
