player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
helen-williams,Helen Williams,,1.0,1.0,0.0,8.0,2.0
jiayi-jiang,Jiayi Jiang,,0.0,1.0,1.0,2.0,8.0
karen-titheridge,Karen Titheridge,,1.0,1.0,0.0,8.0,2.0
kristen-tsourlenes,Kristen Tsourlenes,,1.0,1.0,0.0,8.0,2.0
michelle-fredericks-armstrong,Michelle Fredericks Armstrong,,1.0,1.0,0.0,8.0,2.0
rui-wang,Rui Wang,,0.0,1.0,1.0,2.0,8.0
sara-westman,Sara Westman,,1.0,1.0,0.0,8.0,2.0
tingyu-su,Tingyu Su,,0.0,1.0,1.0,2.0,8.0
yu-han,Yu Han,,0.0,1.0,1.0,2.0,8.0
ziqi-dong,Ziqi Dong,,0.0,1.0,1.0,2.0,8.0
