player_id,player_name,positions,conversions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
aj-mccarron,AJ McCarron,QB,2.0,,1.0,,,3.0,255.0,,,,,0.0,4.0,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,0.0,10.0,2.0,,,,
battlehawks-dst,Battlehawks DST,DST,,1.0,,0.0,,,,6.0,,,,,,1.0,
battlehawks-qb,Battlehawks QB,QB,2.0,,1.0,,,3.0,255.0,,,,,0.0,4.0,,
blake-jackson,Blake Jackson,WR,,,,,,,,,0.0,4.0,1.0,,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,0.0,0.0,0.0,,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,0.0,22.0,4.0,,,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,0.0,5.0,1.0,,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,0.0,12.0,1.0,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,2.0,134.0,6.0,,,,
jacob-saylors,Jacob Saylors,RB,1.0,,,,,,,,0.0,29.0,5.0,0.0,18.0,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,0.0,46.0,5.0,,,,
jake-sutherland,Jake Sutherland,TE/WR,1.0,,,,,,,,,,,,,,
justin-hall,Justin Hall,WR,,,,,,,,,0.0,59.0,6.0,,,,
keke-chism,Keke Chism,WR,,,,,,,,,0.0,12.0,3.0,,,,
marcell-ateman,Marcell Ateman,WR,,,,,,,,,0.0,2.0,2.0,,,,
mark-thompson,Mark Thompson,RB,,,,,1.0,,,,0.0,14.0,2.0,1.0,45.0,,
reid-sinnett,Reid Sinnett,QB,,,0.0,,,0.0,135.0,,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,,1.0,,,,22.0,,,,,,2.0,1.0
roughnecks-qb,Roughnecks QB,QB,,,0.0,,,0.0,135.0,,,,,0.0,0.0,,
sterling-hofrichter,Sterling Hofrichter,P,,,,,,,,,,,,0.0,-37.0,,
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,1.0,35.0,4.0,,,,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,0.0,6.0,1.0,0.0,38.0,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,,,,0.0,10.0,,
