player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
asi-tupua,Asi Tupua,DL,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,11.0,0.0,11.0,,,,,,,11.3,18.0,0.0,45.0,4.0,,,,,,,,,,,,,
caleb-shudak,Caleb  Shudak,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
carlton-watkins,Carlton Watkins,DB,,,,2.0,24.0,2.0,,,,,,,,,,,9.0,50.0,0.0,2.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
chase-alisauckas,Chase Alisauckas,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,13.0,1.0,3.8,8.0,6.0,0.0,23.0,,,,,,,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,17.0,2.0,53.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
devontae-jackson,Devontae Jackson,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
dren-johnson,Dren Johnson,DB,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0,5.0,,18.0,1.0,65.0,,,,,,1.5,3.0,2.0,0.0,3.0,,,,,,,,
drew-prohaska,Drew Prohaska,RB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,23.0,9.0,,32.0,2.0,109.0,,,,,,2.0,7.0,6.0,0.0,12.0,,,,,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,1.0,,,,,,,,,,,,,,,1.0,,,,,,,-13.0,0.0,0.0,-13.0,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,32.0,1.0,63.0,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
jalen-hicks,Jalen Hicks,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
james-riddle,James Riddle,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
jayshawn-washington,Jayshawn Washington,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
jazeric-peterson,Jazeric Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,10.0,2.0,2.0,2.0,2.0,1.0,4.0,,,,,,,,
jeff-mack-ii,Jeff Mack II,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,12.0,0.0,33.0,4.0,4.5,28.0,12.0,2.0,54.0,,,,,,,,
kavon-samuels,Kavon Samuels,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
kearyn-taylor,Kearyn Taylor,ATH,1.0,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,5.5,6.0,0.0,11.0,,,,,,,10.0,12.0,1.0,40.0,4.0,,,,,,,,,,,,,
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,16.0,12.0,,13.0,1.0,103.0,,,,,,6.0,19.0,12.0,1.0,72.0,,,,,,,,
malcolm-mccoy,Malcolm Mccoy,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,1.0,0.0,,
michael-jenkins,Michael Jenkins,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,,
nolan-krinsky,Nolan Krinsky,,,,,1.0,0.0,0.0,,,,,,,,,,,5.0,50.0,0.0,2.0,300.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
otis-odom,Otis Odom,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,,,,
rashad-ridley,Rashad Ridley,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
rashaud-powell,Rashaud Powell,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,,,
sam-hammond,Sam Hammond,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
steven-adair,Steven Adair,,2.0,1.0,0.0,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,7.0,,,,
tirri-jones,Tirri Jones,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,5.0,7.0,3.0,0.0,,
tracy-brooks,Tracy Brooks,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,13.0,0.0,20.0,2.0,,,,,,,,,,,,,
trey-taylor,Trey Taylor,P,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
