player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adam-bighill,Adam Bighill,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-muhammad,Brad Muhammad,DB,2.0,20.0,,2.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,,,,,,,16.0,1.0,3.0,,14.0,16.0,,,,,,8.0,10.0,,60.0,,,,,,,,,,
cameron-judge,Cameron Judge,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casey-sayles,Casey Sayles,DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-grace,Cody Grace,K/P,,,,,,,,,,,,,,,,,,,,,77.0,4.0,2.0,21.0,257.0,,,,,,2.0,,,,,,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,,1.0,1.0,,,,1.0,10.0,,,,,,,,,,,,5.0,16.0,1.0,25.0,,6.0,1.0,1.0,,,,,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,,,,,,,,26.0,2.0,2.0,,20.0,34.0,,,,,,,,,,,,,,,,,,,
darius-williams,Darius Williams,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deatrick-nichols,Deatrick Nichols,CB/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donald-rutledge,Donald Rutledge,DB,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,,,,,,12.0,3.0,5.0,,4.0,32.0,,,,,,,,,,,,,,,,,,,
eli-bouka,Eli Bouka,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folarin-orimolade,Folarin Orimolade,DL/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-mccrae,Greg McCrae,RB,,,,2.0,2.0,,,,,,,,,,,5.0,6.0,1.0,27.0,95.0,,,,,,2.0,12.0,,12.0,1.0,6.0,,1.0,,,,,,
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
