player_id,player_name,positions,1pt_conversion,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-kessman,Alex Kessman,K,,1.0,196.0,,,,,,,,,,,,,,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,1.0,36.0,3.0,,,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,0.0,32.0,2.0,,,
bt-potter,B.T. Potter,K,,,25.0,,,,,1.0,,,,,,,,,
braedon-bowman,Braedon Bowman,WR/TE,,,,,,,,,,,,0.0,18.0,3.0,,,
cj-marable,CJ Marable,RB,,,,,,,1.0,,,,,0.0,26.0,3.0,0.0,18.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,,0.0,82.0,3.0,,,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,0.0,16.0,1.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,0.0,27.0,4.0,,,
cole-kelley,Cole Kelley,QB,,,,,1.0,,,,0.0,176.0,,,,,0.0,24.0,
dakota-prukop,Dakota Prukop,QB,,,,,1.0,,,,2.0,128.0,,,,,0.0,76.0,
daniel-helm,Daniel Helm,TE,,,,,,,,,,,,0.0,24.0,2.0,,,
danny-etling,Danny Etling,QB,1.0,,,,0.0,,,,2.0,236.0,,,,,0.0,15.0,
darius-victor,Darius Victor,RB,,,,,,,,,,,,1.0,39.0,6.0,0.0,26.0,
darrell-stewart-jr,Darrell Stewart Jr.,WR,,,,,,,,,,,,,19.0,2.0,,,
davion-davis,Davion Davis,WR,,,,,,,,,,,,0.0,15.0,3.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,2.0,55.0,4.0,,,
derrick-dillon,Derrick Dillon,WR,,,,,,,,,,,,0.0,33.0,3.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
generals-dst,Generals DST,DST,,,,1.0,,1.0,,,,,25.0,,,,,,1.0
generals-k,Generals K,K,,1.0,56.0,,,,,1.0,,,,,,,,,
generals-qb,Generals QB,QB,,,,,2.0,,,,2.0,144.0,,,,,0.0,76.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,1.0,6.0,1.0,,,
jmar-smith,J\'Mar Smith,QB,2.0,,,,0.0,,,,2.0,307.0,,,,,0.0,30.0,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,0.0,8.0,2.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,0.0,58.0,2.0,,,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,,,0.0,43.0,3.0,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,0.0,39.0,4.0,,,
jordan-thomas-2,Jordan Thomas,TE,1.0,,,,,,,,,,,0.0,17.0,1.0,,,
juwan-washington,Juwan Washington,RB,,,,,,,,,,,,,,,0.0,11.0,
kerrith-whyte,Kerrith Whyte,RB,,,,,,,,,,,,0.0,14.0,1.0,1.0,102.0,
larry-rountree-iii,Larry Rountree III,RB,,,,,,,,,,,,0.0,4.0,1.0,2.0,21.0,
malik-turner,Malik Turner,WR,,,,,,,,,,,,0.0,30.0,4.0,,,
marcus-green,Marcus Green,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,0.0,10.0,1.0,,,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,44.0,
nick-sciba,Nick Sciba,K,,1.0,56.0,,,,,1.0,,,,,,,,,
panthers-dst,Panthers DST,DST,,,,1.0,,0.0,,,,,26.0,,,,,,3.0
panthers-k,Panthers K,K,,,25.0,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,1.0,,,,0.0,,,,2.0,236.0,,,,,0.0,15.0,
ryan-mcdaniel,Ryan McDaniel,WR,,,,,,,1.0,,,,,0.0,17.0,2.0,0.0,11.0,
showboats-k,SHOWBOATS K,K,,1.0,196.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,1.0,,,,0.0,176.0,,,,,0.0,24.0,
samson-nacua,Samson Nacua,WR,1.0,,,,,,,,,,,0.0,4.0,1.0,,,
showboats-dst,Showboats DST,DST,,,,1.0,,2.0,,,,,16.0,,,,,,0.0
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,1.0,115.0,5.0,,,
stallions-dst,Stallions DST,DST,,,,,,0.0,,,,,22.0,,,,,,2.0
stallions-qb,Stallions QB,QB,2.0,,,,0.0,,,,2.0,307.0,,,,,0.0,30.0,
toa-taua,Toa Taua,RB,,,,,,,,,,,,0.0,15.0,4.0,1.0,47.0,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,0.0,36.0,3.0,,,
warren-newman,Warren Newman,WR,,,,,,,1.0,,,,,,,,,,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
