player_id,player_name,positions,assists,blk,cto,goals,lb,pim,sog,to
adam-jay,Adam Jay,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
austin-shanks,Austin Shanks,P,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
bobby-kidd-iii,Bobby Kidd III,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brayden-laity,Brayden Laity,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brayden-mayea,Brayden Mayea,P,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
brock-haley,Brock Haley,P,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
carter-cook,Carter Cook,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clark-walter,Clark Walter,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-mcclelland,Connor McClelland,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eli-salama,Eli Salama,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
griffin-hall,Griffin Hall,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haiden-dickson,Haiden Dickson,P,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
harrison-matsuoka,Harrison Matsuoka,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
holden-garlent,Holden Garlent,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jack-follows,Jack Follows,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jake-boudreau,Jake Boudreau,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jerrett-smith,Jerrett Smith,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
josh-zawada,Josh Zawada,P,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
justin-inacio,Justin Inacio,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kyle-pepper,Kyle Pepper,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
levi-anderson,Levi Anderson,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
levi-verch,Levi Verch,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
liam-leclair,Liam LeClair,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathieu-gautier,Mathieu Gautier,P,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
matt-acchione,Matt Acchione,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-hossack,Matt Hossack,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-sykes,Matt Sykes,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mike-messenger,Mike Messenger,P,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
noah-manning,Noah Manning,P,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
riley-isaacs,Riley Isaacs,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
riley-loewen,Riley Loewen,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robert-church,Robert Church,P,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ryan-barnable,Ryan Barnable,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ryan-keenan,Ryan Keenan,P,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0
tanner-cook,Tanner Cook,P,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
tyler-hendrycks,Tyler Hendrycks,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyler-pace,Tyler Pace,P,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
zach-manns,Zach Manns,P,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
