player_id,player_name,positions,1pt_conversion,dst_touchdown,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
bt-potter,B.T. Potter,K,,,75.0,,,2.0,,,,,,,,,
bryce-perkins,Bryce Perkins,QB,1.0,,,0.0,,,1.0,163.0,,,,,1.0,14.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,0.0,6.0,1.0,,,
danny-etling,Danny Etling,QB,,,,0.0,,,0.0,30.0,,,,,0.0,15.0,
deneric-prince,Deneric Prince,RB,,,,,,,,,,0.0,27.0,2.0,0.0,38.0,
devin-ross,Devin Ross,WR,,,,,,,,,,0.0,1.0,1.0,,,
ej-perry,E.J. Perry,QB,,,,1.0,,,1.0,93.0,,,,,0.0,7.0,
eli-stove,Eli Stove,WR,,,,,,,,,,0.0,9.0,1.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,0.0,7.0,1.0,,,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,0.0,6.0,1.0,,,
jalen-jackson,Jalen Jackson,RB,,,,,,,,,,0.0,21.0,2.0,0.0,24.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,0.0,8.0,1.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,1.0,93.0,6.0,,,
kai-locksley-2,Kai Locksley,WR,,,,,,,,,,0.0,5.0,1.0,,,
kwame-lassiter-ii,Kwame Lassiter II,WR,,,,,,,,,,,10.0,2.0,,,
malik-turner,Malik Turner,WR,,,,,,,,,,0.0,40.0,5.0,,,
matt-coghlin,Matt Coghlin,K,,,95.0,,,,,,,,,,,,
matt-colburn-ii,Matt Colburn II,WR/RB,1.0,,,,,,,,,0.0,10.0,2.0,0.0,32.0,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,0.0,6.0,1.0,0.0,34.0,
panthers-dst,Panthers DST,DST,,1.0,,,2.0,,,,12.0,,,,,,3.0
panthers-k,Panthers K,K,,,75.0,,,2.0,,,,,,,,,
panthers-qb,Panthers QB,QB,1.0,,,0.0,,,1.0,193.0,,,,,1.0,29.0,
showboats-k,SHOWBOATS K,K,,,95.0,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,2.0,,,1.0,197.0,,,,,0.0,7.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,,1.0,35.0,2.0,,,
showboats-dst,Showboats DST,DST,,,,,0.0,,,,20.0,,,,,,1.0
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,0.0,35.0,3.0,,,
troy-williams,Troy Williams,QB,,,,1.0,,,0.0,104.0,,,,,,,
