player_id,player_name,positions,1pt_conversion,blocked_punt,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
aj-richardson,AJ Richardson,WR,,,,,,,,,,,,,0.0,7.0,1.0,0.0,-2.0,,
abram-smith,Abram Smith,RB,,,,,,,,,,,,,0.0,7.0,1.0,0.0,43.0,,
anthony-jones,Anthony Jones,RB,,,,,,,,,,,,,0.0,4.0,1.0,0.0,0.0,,
battlehawks-dst,Battlehawks DST,DST,,1.0,,,1.0,,0.0,,,,,6.0,,,,,,3.0,
battlehawks-k,Battlehawks K,K,,,,66.0,,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,,,,0.0,,,,0.0,105.0,,,,,0.0,-2.0,,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,,,0.0,25.0,2.0,,,,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,0.0,34.0,2.0,,,,
brandon-silvers,Brandon Silvers,QB,,,,,,0.0,,,,0.0,105.0,,,,,0.0,-2.0,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,,
breakers-dst,Breakers DST,DST,,,,,,,1.0,,,,,20.0,,,,,,4.0,
breakers-k,Breakers K,K,,,3.0,19.0,,,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,,,,,2.0,,,,2.0,328.0,,,,,0.0,0.0,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,0.0,13.0,2.0,,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,,0.0,27.0,5.0,,,,
cole-murphy,Cole Murphy,K,,,1.0,56.0,,,,,1.0,,,,,,,,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,,,0.0,5.0,1.0,0.0,0.0,,
defenders-dst,Defenders DST,DST,,,,,,,0.0,,,,,13.0,,,,,,1.0,1.0
defenders-k,Defenders K,K/QB,,,,,,0.0,,1.0,2.0,1.0,142.0,,,,,0.0,60.0,,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,,0.0,6.0,2.0,0.0,3.0,,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,,
frank-darby,Frank Darby,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,,0.0,38.0,1.0,,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,,0.0,32.0,2.0,,,,
jarveon-howard,Jarveon Howard,RB,1.0,,,,,,,,,,,,,,,1.0,89.0,,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,,,0.0,24.0,2.0,,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,,0.0,14.0,2.0,,,,
joe-walker,Joe Walker,WR,,,,,,,,,,,,,0.0,58.0,5.0,,,,
johnnie-dixon,Johnnie Dixon,WR,,,,,,,,,,,,,2.0,136.0,9.0,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,0.0,117.0,8.0,,,,
josh-love,Josh Love,QB,,,,,,1.0,,,,2.0,221.0,,,,,0.0,8.0,,
jovon-durante,Jovon Durante,WR,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,,
kaden-davis,Kaden Davis,WR,,,,,,,,,,,,,0.0,9.0,1.0,,,,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,,,0.0,1.0,1.0,0.0,59.0,,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,,,,1.0,54.0,2.0,,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,,,,0.0,6.0,2.0,,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,,,0.0,7.0,2.0,,,,
matt-coghlin,Matt Coghlin,K,,,3.0,19.0,,,,,,,,,,,,,,,
matthew-mccrane,Matthew McCrane,K,,,,,,,,,2.0,,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,2.0,,,,2.0,328.0,,,,,,,,
mike-diliello,Mike DiLiello,QB,,,,,,0.0,,1.0,,1.0,142.0,,,,,0.0,60.0,,
panthers-dst,Panthers DST,DST,,,,,1.0,,2.0,,,,,24.0,,,,,,2.0,
panthers-k,Panthers K,K,,,1.0,56.0,,,,,1.0,,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,,,1.0,,,,2.0,221.0,,,,,0.0,8.0,,
reggie-corbin,Reggie Corbin,RB,,,,,,,,,,,,,0.0,19.0,2.0,0.0,45.0,,
rodrigo-blankenship,Rodrigo Blankenship,K,,,,66.0,,,,,,,,,,,,,,,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,0.0,34.0,3.0,,,,
seth-williams,Seth Williams,WR,,,,,,,,,,,,,1.0,41.0,4.0,,,,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,,,1.0,41.0,4.0,,,,
wes-hills,Wes Hills,RB,,,,,,,,1.0,,,,,0.0,37.0,4.0,1.0,36.0,,
