player_id,player_name,positions,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-donadio,Alex Donadio,P,1.0,,6.0,4.0,1.0,,,,,4.0,,89.0,24.0
antoine-rousseau,Antoine Rousseau,P,,,6.0,6.0,2.0,,,2.0,,8.0,2.0,114.0,40.0
brendan-mccann,Brendan McCann,P,1.0,,,,,,,,,,,,
caelan-mcsweeney,Caelan McSweeney,P,,,,,,,1.0,,,,,,
chris-bartoli,Chris Bartoli,P,,1.0,,,,,,,,,1.0,,
christophe-tremblay-joncas,Christophe Tremblay-Joncas,P,1.0,1.0,19.0,17.0,,2.0,3.0,1.0,,20.0,3.0,174.0,209.0
cole-davis-brand,Cole Davis-Brand,P,,,,,2.0,,,1.0,,,,,
colin-sunde,Colin Sunde,P,,1.0,,,,,,,,,,,
dylan-lacombe-burgoyne,Dylan Lacombe-Burgoyne,P,1.0,,20.0,29.0,,3.0,,,,31.0,2.0,102.0,207.0
felix-leonard,Felix Leonard,P,,,1.0,2.0,,,,,,2.0,,,31.0
gustav-haflin,Gustav Haflin,P,1.0,1.0,,,1.0,,,,,,,,
ian-wallace,Ian Wallace,P,,,2.0,2.0,,,,,,3.0,1.0,82.0,10.0
jac-carreiro,Jac Carreiro,P,2.0,3.0,,,,,,,,,1.0,,
jacob-duquette,Jacob Duquette,P,,1.0,4.0,5.0,,,,5.0,,6.0,1.0,-8.0,38.0
jake-taylor,Jake Taylor,P,,,,,1.0,,,,,,,,
jay-clark,Jay Clark,P,,,,,,,,,,,1.0,,
julien-bernat,Julien Bernat,P,1.0,,2.0,2.0,,,1.0,,,2.0,,-4.0,79.0
kevin-quinlan,Kevin Quinlan,P,4.0,,31.0,31.0,3.0,,4.0,,,33.0,2.0,211.0,356.0
liam-mckeown,Liam McKeown,P,1.0,,31.0,33.0,,1.0,2.0,,1.0,37.0,4.0,210.0,288.0
luca-harwood,Luca Harwood,P,1.0,,,12.0,,1.0,1.0,,,12.0,,,163.0
martin-gallant,Martin Gallant,P,,,5.0,5.0,,,,,,5.0,,38.0,41.0
max-ayad,Max Ayad,P,,,3.0,3.0,,,,2.0,,3.0,,-1.0,40.0
melvyn-brichet,Melvyn Brichet,P,1.0,1.0,14.0,12.0,1.0,1.0,,,,13.0,1.0,165.0,56.0
phillip-joyce,Phillip Joyce,P,,,,3.0,4.0,,,,,,,,28.0
phillipe-le-bourdais,Phillipe Le Bourdais,P,,,6.0,3.0,3.0,1.0,,,,3.0,,21.0,10.0
ray-tetreault,Ray Tetreault,P,,,,,,4.0,,,,,,,
rocco-linehan,Rocco Linehan,P,,,,,,,,,,,3.0,,
simon-carapella,Simon Carapella,P,1.0,,,,,2.0,,,,,,,
simon-walker,Simon Walker,P,2.0,,19.0,19.0,,,,,,19.0,,116.0,175.0
tanner-halkyard,Tanner Halkyard,P,,,,,,,1.0,,1.0,,,,
thomas-lalonde-landry,Thomas Lalonde-Landry,P,,,2.0,2.0,,,,,,3.0,1.0,18.0,-24.0
william-st-pierre,William St-Pierre,P,1.0,,10.0,6.0,3.0,1.0,,,,7.0,1.0,267.0,-26.0
