player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-mullen,Alex Mullen,P,,,,,,,1.0,,,,,,,
andrew-thompson,Andrew  Thompson,P,1.0,1.0,,1.0,5.0,,,,,1.0,5.0,,-3.0,5.0
andrew-sjogren,Andrew Sjogren,P,,,,,,1.0,,,,,,,,
anson-reppermund,Anson Reppermund,P,1.0,,,,,,,,,,,2.0,,
asher-lantz,Asher Lantz,P,,,,,,,,2.0,,,,,,
benjamin-preiss,Benjamin Preiss,P,,,,,,1.0,,,,,,,,
cal-tornabene,Cal Tornabene,P,,1.0,,6.0,5.0,,1.0,1.0,,,5.0,,105.0,30.0
carl-johnson,Carl Johnson,P,,,,,,,,,1.0,,,,,
connor-newell,Connor Newell,P,,,,5.0,7.0,,,,,,8.0,1.0,43.0,-11.0
dex-dremann,Dex Dremann,P,1.0,1.0,,14.0,15.0,1.0,,1.0,,14.0,15.0,,80.0,123.0
didzis-malderis,Didzis Malderis,P,1.0,,,,,,,,,,,,,
jace-bruner,Jace Bruner,P,,,,,,1.0,2.0,,,,,,,
jack-shanahan,Jack Shanahan,P,,,,,,1.0,,,,,,,,
jacob-anthuvan,Jacob Anthuvan,P,,,,,,,,1.0,,,,,,
jake-steslicki,Jake Steslicki,P,,,,,,,,3.0,,,,,,
jerry-kelly,Jerry Kelly,P,1.0,,,3.0,,,,,,,,,26.0,
jesse-johnson,Jesse Johnson,P,,1.0,,,,,,1.0,,,,,,
joe-molder,Joe Molder,P,,,,1.0,1.0,,,,,,1.0,,9.0,-8.0
john-jones,John Jones,P,,,,2.0,2.0,,,,,,2.0,,13.0,13.0
luke-brennan,Luke Brennan,P,,,1.0,,,,1.0,,2.0,,,,,
max-sheppard,Max Sheppard,P,,,,,,1.0,,1.0,,,,,,
nico-lake,Nico Lake,P,,,,,,1.0,1.0,,1.0,,,,,
pete-zaccardi,Pete Zaccardi,P,,,,,,,,1.0,,,,,,
sam-kaminsky,Sam Kaminsky,P,,1.0,,,,1.0,,,,,,,,
sam-vandusen,Sam VanDusen,P,,,,,,,,,,,,2.0,,
steve-mogielski,Steve Mogielski,P,1.0,,,,,,,,,,,,,
tyler-mitchuson,Tyler Mitchuson,P,,,,1.0,1.0,,,,,,1.0,,2.0,1.0
wyatt-mekler,Wyatt Mekler,P,,1.0,,14.0,15.0,,1.0,2.0,,,16.0,1.0,25.0,106.0
