player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-thomas-2,Alex Thomas,P,3.0,,,11.0,15.0,,,1.0,,,,15.0,,67.0,11.0
andrew-thompson,Andrew  Thompson,P,2.0,,,12.0,12.0,,1.0,1.0,,,,14.0,1.0,50.0,107.0
anson-reppermund,Anson Reppermund,P,,,,20.0,14.0,,3.0,3.0,,,1.0,16.0,1.0,290.0,6.0
blake-krapfl,Blake Krapfl,P,,,,5.0,4.0,,,2.0,,,,5.0,,15.0,37.0
bryan-walsh,Bryan Walsh,P,,,,19.0,16.0,,,,,,1.0,20.0,4.0,76.0,46.0
caleb-stanish,Caleb Stanish,P,1.0,,,6.0,6.0,,,1.0,,,,6.0,,39.0,60.0
carl-johnson,Carl Johnson,WR/P,1.0,1.0,,6.0,3.0,,4.0,,1.0,,,3.0,,81.0,63.0
carson-chamberlain,Carson Chamberlain,P,2.0,,,7.0,7.0,1.0,,,,,,7.0,,60.0,87.0
charlie-vukovic,Charlie Vukovic,P,,3.0,,7.0,9.0,,,1.0,,15.0,,9.0,,74.0,104.0
chris-ellis,Chris Ellis,P,,,,7.0,14.0,,,,,,,14.0,,29.0,-15.0
cliff-ressel,Cliff Ressel,P,,1.0,,3.0,1.0,,2.0,,,,,1.0,,72.0,8.0
clint-mcsherry,Clint McSherry,P,5.0,1.0,,35.0,41.0,,2.0,4.0,1.0,,,42.0,1.0,32.0,406.0
colin-beauregard,Colin Beauregard,P,,,,1.0,1.0,,,,,,,1.0,,13.0,10.0
connor-tipping,Connor Tipping,P,,,,5.0,5.0,,,,,,,5.0,,-15.0,32.0
daniel-robinson,Daniel Robinson,P,1.0,,,6.0,5.0,,,,1.0,,,6.0,1.0,55.0,81.0
david-innis,David Innis,P,,,,18.0,21.0,,,1.0,,,1.0,25.0,3.0,83.0,23.0
dylan-hall,Dylan Hall,P,,,,3.0,2.0,2.0,,1.0,,7.0,,4.0,2.0,1.0,2.0
jack-havey,Jack Havey,P,,,,10.0,8.0,,,,,,,10.0,1.0,107.0,65.0
jacob-anthuvan,Jacob Anthuvan,P,2.0,,,24.0,20.0,,3.0,,,,,21.0,1.0,302.0,-3.0
jake-kenniv,Jake Kenniv,P,2.0,1.0,1.0,17.0,13.0,,1.0,1.0,1.0,,,17.0,4.0,123.0,211.0
jimmy-towle,Jimmy Towle,P,1.0,,,21.0,19.0,,2.0,3.0,,,,19.0,,255.0,94.0
joel-willison,Joel Willison,P,1.0,,,2.0,1.0,,,,1.0,,,2.0,1.0,13.0,52.0
jonathan-mast,Jonathan Mast,P,4.0,,,42.0,46.0,,2.0,4.0,3.0,,,47.0,1.0,128.0,491.0
joseph-cubitt,Joseph Cubitt,P,,,,19.0,36.0,,,1.0,,,,38.0,2.0,67.0,78.0
justin-wollin,Justin Wollin,P,,,,6.0,7.0,,,,,,,8.0,1.0,1.0,-23.0
kevin-nicholl,Kevin Nicholl,P,,,,7.0,6.0,,,,,,1.0,6.0,,54.0,34.0
logan-call,Logan Call,P,,1.0,,3.0,2.0,,1.0,1.0,,,,2.0,,18.0,13.0
malachi-neil,Malachi Neil,P,,1.0,,3.0,2.0,,,,,1.0,,3.0,1.0,8.0,31.0
matt-reynolds,Matt Reynolds,P,1.0,,,8.0,6.0,,2.0,1.0,,,,6.0,,98.0,-41.0
max-sheppard,Max Sheppard,P,2.0,1.0,,31.0,29.0,1.0,2.0,3.0,2.0,2.0,,29.0,,283.0,84.0
mikey-obrien,Mikey O\'Brien,P,1.0,2.0,,16.0,14.0,1.0,3.0,2.0,,,,14.0,,120.0,23.0
nathan-ploeger,Nathan Ploeger,P,2.0,1.0,,8.0,6.0,,,1.0,2.0,3.0,,8.0,2.0,23.0,160.0
nicholas-betsch,Nicholas Betsch,P,,,,16.0,15.0,,,2.0,,,,16.0,1.0,37.0,159.0
noah-celuch,Noah Celuch,P,2.0,1.0,,24.0,28.0,,2.0,,,,,28.0,,41.0,258.0
rees-mcdevitt,Rees McDevitt,P,,,,1.0,1.0,,,,,,,1.0,,,9.0
robbie-davenport,Robbie Davenport,P,1.0,1.0,,17.0,18.0,,,2.0,,,,19.0,1.0,128.0,91.0
ryan-kindell,Ryan Kindell,P,4.0,3.0,,12.0,16.0,,,,2.0,11.0,,19.0,3.0,19.0,128.0
steve-mogielski,Steve Mogielski,P,1.0,3.0,,13.0,14.0,,,2.0,,,,15.0,1.0,-29.0,138.0
thomas-hansen,Thomas Hansen,P,,,,3.0,3.0,,,,,,,3.0,,26.0,11.0
trevor-polisuk-balfour,Trevor Polisuk-Balfour,P,2.0,,,8.0,8.0,,,,1.0,,,8.0,,40.0,114.0
