player_id,player_name,positions,recv_lg,recv_rec,recv_tar,recv_yds
josh-huff,Josh Huff,WR,3.0,1.0,5.0,3.0
marquis-bundy,Marquis Bundy,WR,11.0,2.0,2.0,17.0
