player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
patrick-lavoie,Patrick Lavoie,FB/RB,,,,,,,,,,,,,,,,,,6.0,2.0,4.0,,2.0,11.0,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,,,,,,5.0,3.0,5.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
samuel-eguavoen,Samuel Eguavoen,LB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shakeir-ryan,Shakeir Ryan,WR,,,,,,,,,,,,,,,,,,,,1.0,,,,27.0,5.0,,,90.0,,,,,,,,,,,,,,,,
shaquelle-evans,Shaquelle Evans,WR,,,,,,,,,,,,,,,,,,21.0,1.0,2.0,,17.0,21.0,3.0,2.0,,,3.0,,,,,,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,,,,,,11.0,2.0,3.0,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tobi-antigha,Tobi Antigha,LB/DB,1.0,2.0,1.0,1.0,,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travis-lulay,Travis Lulay,QB,,,,,,,,,,20.0,9.0,2.0,,19.0,2.0,1.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre-mason,Tre Mason,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,28.0,,,,6.0,1.0,1.0,,,,,,
ty-long,Ty Long,K,,,,,,,,,,,,,,,,,,,,,,,,72.0,4.0,4.0,156.0,267.0,,,,,,,,4.0,,,,,,2.0,2.0,2.0
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,,,,,,10.0,1.0,3.0,,10.0,10.0,,,,,,12.0,17.0,,50.0,,,,,,,,,,,,
willie-jefferson,Willie Jefferson,DE/DL/DB,,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winston-rose,Winston Rose,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,,,,,8.0,5.0,,21.0,,,,52.0,,,,,,,,,,,,1.0,12.0,,12.0,,,,,,,,,,,,
zack-evans,Zack Evans,DL/DB,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,1.0,,,,,,
