player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,,,1.0
ahmad-dixon,Ahmad Dixon,DB/SAF,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,
alex-jenkins,Alex Jenkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
andrew-franks,Andrew Franks,K,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-stelter,Andrew Stelter,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
anthoula-kelly,Anthoula Kelly,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
arrion-springs,Arrion Springs,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
bobby-richardson,Bobby Richardson,DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
brandon-barnes,Brandon Barnes,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,3.0,,,,,,,3.0
cedric-reed,Cedric Reed,DL/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,
dc-defenders,DC Defenders,,,,,,3.0,15.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,,12.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-williams,Daniel Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,5.0,,,,,,,5.0
dequan-hampton,De\'Quan Hampton,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,2.0,,,,,,,1.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,1.0,24.0,,69.0,,,,
demontre-hurst,Demontre Hurst,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
dujuan-harris,DuJuan Harris,RB,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,1.0,7.0,,,,
harlan-miller,Harlan Miller,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,
herb-waters,Herb Waters,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
houston,Houston,,,,,,12.0,32.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack-tocho,Jack Tocho,DB/SAF,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,
jacques-patrick,Jacques Patrick,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,7.0,1.0,23.0,,,,1.0
jake-schum,Jake Schum,P,,,,,,,,,,,,,,,,,,,40.5,56.0,,162.0,4.0,15.0,2.0,,,,,,,,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,95.0,4.0,,,,,,,4.0
jerome-couplin,Jerome Couplin,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,4.0,,,,,,,2.0
josh-banks,Josh Banks,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
josh-johnson,Josh Johnson,DB,,20.0,,,,,,1.0,,,,,36.0,4.0,288.0,,,,,,,,,,,,,,7.0,,19.0,,,,
ladarius-wiley,LaDarius Wiley,S/DB/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
