player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
adam-auclair,Adam Auclair,LB,,,,,,,,,,,,,2.0
bo-levi-mitchell,Bo Levi Mitchell,QB,,,5.0,2.0,353.0,,,,,,5.0,,
cyrille-hogan-saindon,Cyrille Hogan-Saindon,OL,,,,,,,0.0,3.0,1.0,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,1.0,54.0,5.0,,,,
devonte-williams,Devonte Williams,RB,,,,,,,0.0,43.0,2.0,0.0,53.0,,
dustin-crum,Dustin CRUM,QB,,,1.0,0.0,158.0,,,,,0.0,82.0,,
felix-garand-gauthier,Felix Garand-Gauthier,FB/RB,,,,,,,0.0,11.0,1.0,,,,
ham-dst,HAM DST,DST,,,,,,12.0,,,,,,7.0,
ham-k,HAM K,K,1.0,25.0,,,,,,,,,,,
ham-qb,HAM QB,QB,,,5.0,2.0,353.0,,,,,,5.0,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,0.0,17.0,2.0,,,,
jameer-thurman,Jameer Thurman,DB/LB,,,,,,,,,,,,,7.0
james-butler,James BUTLER,RB,,,,,,,0.0,30.0,2.0,0.0,12.0,,
justin-hardy,Justin HARDY,WR,,,,,,,0.0,65.0,5.0,,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,0.0,13.0,1.0,,,,
lewis-ward,Lewis Ward,K,,159.0,,,,,,,,,,,
marc-liegghio,Marc LIEGGHIO,K,1.0,25.0,,,,,,,,,,,
nate-behar,Nate Behar,WR,,,,,,,0.0,16.0,2.0,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,0.0,0.0,10.0,,,,,,,,
ott-dst,OTT DST,DST,,,,,,16.0,,,,,,1.0,
ott-k,OTT K,K,,159.0,,,,,,,,,,,
ott-qb,OTT QB,QB,,,1.0,,158.0,,,,,,82.0,,
shaq-evans,Shaq Evans,WR,,,,,,,0.0,14.0,1.0,,,,
terry-godwin-ii,Terry Godwin II,WR,,,,,,,,71.0,5.0,,,,
tim-white,Tim White,WR,,,,,,,0.0,46.0,4.0,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,,,,,,,,,,5.0
