player_id,player_name,positions,blocked_punt,conversion_return_td,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anders-carlson,Anders Carlson,K/PK,,,,,2.0,108.0,,,,,,,,,,,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,,,,,,,,,0.0,4.0,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,,,,1.0,2.0,108.0,1.0,2.0,1.0,,1.0,157.0,30.0,,,,0.0,20.0,0.0
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,1.0,1.0,,1.0,3.0,,,,2.0,,,,23.0,,,,,,3.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,1.0,,,,,1.0,,1.0,3.0,213.0,,,,,1.0,97.0,
cam-mcdonald,Cam McDonald,TE,,,,,,,,,,,,,,0.0,0.0,0.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,,,0.0,50.0,5.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,,,1.0,27.0,3.0,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,,,,,,,,2.0,,,1.0,157.0,,,,,0.0,20.0,
easop-winston-jr,Easop Winston Jr.,WR,,,,,,,,,,,,,,0.0,33.0,2.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,,1.0,45.0,2.0,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,,,,0.0,20.0,2.0,,,
jalen-morton,Jalen Morton,QB,,,1.0,,,,,1.0,,1.0,3.0,213.0,,,,,1.0,97.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,,,0.0,26.0,1.0,,,
john-lovett,John Lovett,RB,,,,,,,,,,,,,,2.0,50.0,2.0,0.0,11.0,
jonah-dalmas,Jonah Dalmas,K,,,,,3.0,,,,,,,,,,,,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,,,0.0,0.0,0.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
keke-chism,Keke Chism,WR,,,1.0,,,,,,,,,,,0.0,51.0,3.0,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,,,,0.0,6.0,2.0,0.0,58.0,
tay-martin,Tay Martin,WR,,,,,,,,,,,,,,0.0,18.0,2.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,29.0,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,,,,,0.0,28.0,3.0,1.0,31.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,,,0.0,13.0,2.0,0.0,39.0,
