player_id,player_name,positions,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,0.0,12.0,1.0,,,
braedon-bowman,Braedon Bowman,TE/WR,1.0,,,,,,,,,,0.0,13.0,1.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,0.0,62.0,3.0,0.0,3.0,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,0.0,31.0,3.0,0.0,13.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,1.0,58.0,4.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,1.0,12.0,2.0,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,0.0,6.0,1.0,,,
jj-molson,J.J. Molson,K,,25.0,,,,,1.0,,,,,,,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,,,0.0,5.0,
jonathan-garibay,Jonathan Garibay,K,,31.0,,,,,,,,,,,,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,0.0,35.0,4.0,,,
juwan-manigo,Juwan Manigo,WR,,,,,,,,,,,0.0,-1.0,1.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,0.0,30.0,4.0,,,
leddie-brown,Leddie Brown,RB,,,,,,,,,,,0.0,41.0,4.0,0.0,17.0,
lindsey-scott-jr,Lindsey Scott Jr.,QB,,,,,,,,,21.0,,,,,,5.0,
luis-perez,Luis Perez,QB,,,,1.0,,1.0,,1.0,144.0,,,,,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,0.0,5.0,1.0,1.0,34.0,
reid-sinnett,Reid Sinnett,QB,1.0,,,0.0,,,,1.0,191.0,,,,,0.0,9.0,
renegades-dst,Renegades DST,DST,,,1.0,,0.0,,,,,17.0,,,,,,3.0
renegades-k,Renegades K,K,,31.0,,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,,,1.0,,1.0,,1.0,144.0,,,,,0.0,0.0,
roughnecks-dst,Roughnecks DST,DST,,,1.0,,1.0,,,,,9.0,,,,,,2.0
roughnecks-k,Roughnecks K,K,,25.0,,,,,1.0,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,1.0,,,0.0,,,,1.0,191.0,,,,,0.0,9.0,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,0.0,17.0,1.0,,,
seth-green,Seth Green,TE,,,,,,,,,,,0.0,1.0,1.0,,,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,0.0,11.0,1.0,0.0,30.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,0.0,12.0,1.0,,,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,0.0,11.0,1.0,,,
