player_id,player_name,positions,def_ast,def_solo,def_tot,misc_forced
jeremy-faulk,Jeremy Faulk,DB/DL,1.0,7.0,8.0,
nick-temple,Nick Temple,LB/DB,1.0,5.0,6.0,1.0
