player_id,player_name,positions,3pt_other,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_made,missed,points_against,sacks
ben-dinucci,Ben DiNucci,QB,1.0,,,,,,,,
deriq-king,D\'Eriq King,QB,,1.0,,,,,,,
defenders-dst,Defenders DST,DST,,,1.0,,1.0,2.0,,18.0,2.0
defenders-k,Defenders K,K/QB,,1.0,,,,,,,
dominik-eberle,Dominik Eberle,K,,,,36.0,,,1.0,,
jordan-taamu,Jordan Ta\'amu,QB,,1.0,,,,,,,
lucky-jackson,Lucky Jackson,WR,,1.0,,,,,,,
sea-dragons-dst,Sea Dragons DST,DST,,,,,,1.0,,16.0,0.0
sea-dragons-k,Sea Dragons K,K,,,,36.0,,,1.0,,
sea-dragons-qb,Sea Dragons QB,QB,1.0,,,,,,,,
