player_id,player_name,positions,3pt_pass,field_goal_yards,fumble_recoveries,interceptions_made,lost_fumbles,missed,points_against,sacks
aj-mccarron,AJ McCarron,QB,1.0,,,,,,,
austin-proehl,Austin Proehl,WR,1.0,,,,,,,
battlehawks-dst,Battlehawks DST,DST,,,1.0,1.0,,,15.0,2.0
battlehawks-k,Battlehawks K,K,,32.0,,,,1.0,,
brahmas-dst,Brahmas DST,DST,,,,,0.0,,18.0,5.0
brahmas-k,Brahmas K,K,,120.0,,,,1.0,,
donald-hageman,Donald Hageman,K,,32.0,,,,1.0,,
john-parker-romo,John Parker Romo,K,,120.0,,,,1.0,,
