player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
cameron-dukes,Cameron Dukes,QB,,,,0.0,,0.0,6.0,,,,,,,
chad-kelly,Chad KELLY,QB,,,,1.0,,0.0,287.0,,,,,0.0,25.0,
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,0.0,15.0,3.0,,,
cody-fajardo,Cody FAJARDO,QB,,,,1.0,,2.0,225.0,,,,,0.0,22.0,
cole-spieker,Cole SPIEKER,WR,,,,,,,,,1.0,99.0,3.0,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,0.0,29.0,3.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,0.0,58.0,3.0,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,,,,,,0.0,39.0,
david-dallaire,David DALLAIRE,RB/FB,,,,,,,,,0.0,-3.0,1.0,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,0.0,7.0,1.0,0.0,13.0,
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,,0.0,7.0,2.0,1.0,67.0,
jose-maltos,Jose MALTOS,K,,3.0,,,,,,,,,,,,
ka39deem-carey,Ka&#39;Deem Carey,RB,,,,,,,,,0.0,49.0,3.0,1.0,90.0,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,0.0,40.0,5.0,,,
kevin-mital,Kevin Mital,WR,,,,,,,,,0.0,19.0,1.0,,,
khalan-laborn,Khalan Laborn,RB,,,,,,,,,0.0,41.0,6.0,0.0,42.0,
lirim-hajrullahu,Lirim Hajrullahu,K,,1.0,236.0,,,,,,,,,,,
mtl-dst,MTL DST,DST,,,,,1.0,,,20.0,,,,,,4.0
mtl-k,MTL K,K,,3.0,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,1.0,,2.0,225.0,,,,,0.0,22.0,
makai-polk,Makai Polk,WR,,,,,,,,,0.0,103.0,5.0,,,
reggie-white-jr,Reggie WHITE JR.,WR,,,,,,,,,0.0,40.0,2.0,,,
tor-dst,TOR DST,DST,1.0,,,,3.0,,,27.0,,,,,,1.0
tor-k,TOR K,K,,1.0,236.0,,,,,,,,,,,
tor-qb,TOR QB,QB,,,,1.0,,0.0,293.0,,,,,0.0,25.0,
tommy-nield,Tommy Nield,WR,,,,,,,,,0.0,0.0,0.0,,,
tyler-snead,Tyler SNEAD,WR,,,,,,,,,0.0,25.0,4.0,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,1.0,9.0,2.0,0.0,44.0,
