player_id,player_name,positions,def_ast,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,recv_lg,recv_rec,recv_tar,recv_yds
earl-okine,Earl Okine,DB/LB/DL,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,,,,
jalin-marshall,Jalin Marshall,WR,,,,,,,,,19.0,3.0,7.0,41.0
