player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
alexander-kekua,Alexander Kekua,OL,,2.0,,
anthony-wilson,Anthony Wilson,DB,,,1.0,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,
chase-baker,Chase Baker,OL,,,,1.0
frankie-solomon-jr,Frankie Solomon Jr,WR,,,1.0,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,1.0,,1.0
logan-stewart,Logan Stewart,WR,,,1.0,
tony-kennedy,Tony Kennedy,OL,,,,2.0
