player_id,player_name,positions,1pt_conversion,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,1.0,44.0,5.0,,,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,0.0,4.0,1.0,,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,0.0,7.0,1.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,0.0,14.0,2.0,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,0.0,3.0,1.0,1.0,44.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
case-cookus,Case Cookus,QB,,,,,,1.0,,,1.0,199.0,,,,,0.0,36.0,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,,0.0,11.0,1.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,,0.0,9.0,1.0,0.0,38.0,
davion-davis,Davion Davis,WR,,,,,,,,,,,,0.0,10.0,2.0,0.0,-7.0,
deon-cain,Deon Cain,WR,,,,,,,,,,,,0.0,63.0,5.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,0.0,31.0,1.0,,,
gamblers-dst,Gamblers DST,DST,,,,,,,1.0,,,,10.0,,,,,,2.0
gamblers-k,Gamblers K,K,,,1.0,109.0,,,,,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,0.0,,,0.0,130.0,,,,,0.0,-1.0,
generals-dst,Generals DST,DST,,,,,,,0.0,,,,16.0,,,,,,0.0
generals-k,Generals K,K,,,1.0,35.0,,,,,,,,,,,,,
generals-qb,Generals QB,QB,,,,,,1.0,,,1.0,177.0,,,,,0.0,24.0,
harrison-mevis,Harrison Mevis,K,,,,113.0,,,,,,,,,,,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,,,0.0,3.0,1.0,,,
jmar-smith,J\'Mar Smith,QB,,,,,,0.0,,,0.0,63.0,,,,,1.0,9.0,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,1.0,74.0,4.0,,,
jalan-mcclendon,Jalan McClendon,QB,1.0,,,,,0.0,,,1.0,167.0,,,,,0.0,8.0,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,0.0,18.0,2.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,0.0,22.0,1.0,,,
josh-pederson,Josh Pederson,RB/TE/WR,,,,,,,,,,,,0.0,22.0,2.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,0.0,83.0,10.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,1.0,14.0,2.0,,,
kenji-bahar,Kenji Bahar,QB,,,,,,0.0,,,0.0,130.0,,,,,,-1.0,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,1.0,,,,0.0,65.0,4.0,,,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,18.0,
marcus-green,Marcus Green,WR,,,,,,,,,,,,0.0,13.0,1.0,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,0.0,8.0,4.0,1.0,82.0,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,0.0,45.0,1.0,,,
nick-sciba,Nick Sciba,K,,,1.0,35.0,,,,,,,,,,,,,
nick-vogel,Nick Vogel,K,,,1.0,109.0,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,0.0,23.0,3.0,1.0,60.0,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,0.0,11.0,2.0,,,
roughnecks-dst,Roughnecks DST,DST,,1.0,,,,,1.0,,,,33.0,,,,,,2.0
roughnecks-qb,Roughnecks QB,QB,1.0,,,,,0.0,,,1.0,167.0,,,,,0.0,8.0,
shermari-jones,Shermari Jones,RB,,,,,,,,,,,,,,,,1.0,
stallions-dst,Stallions DST,DST,,,,,1.0,,0.0,,,,19.0,,,,,,4.0
stallions-k,Stallions K,K,,,,113.0,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,,,1.0,,,1.0,262.0,,,,,1.0,45.0,
teo-redding,Teo Redding,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,,,0.0,14.0,
warren-newman,Warren Newman,WR,,,,,,,,,,,,0.0,55.0,5.0,0.0,-7.0,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,,0.0,12.0,1.0,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,0.0,8.0,2.0,2.0,69.0,
