player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
ante-baus,Ante Baus,,0.0,1.0,1.0,4.0,10.0
bruno-samardzic,Bruno Samardzic,,0.0,1.0,1.0,4.0,10.0
hrvoje-tolic,Hrvoje Tolic,,0.0,1.0,1.0,4.0,10.0
irakli-enukidze,Irakli Enukidze,,1.0,1.0,0.0,10.0,4.0
irakli-khechuashvili,Irakli Khechuashvili,,1.0,1.0,0.0,10.0,4.0
kakhaber-arabidze,Kakhaber Arabidze,,1.0,1.0,0.0,10.0,4.0
koka-kalandadze,Koka Kalandadze,,1.0,1.0,0.0,10.0,4.0
mikheil-bujiashvili,Mikheil Bujiashvili,,1.0,1.0,0.0,10.0,4.0
miroslav-jurkovic,Miroslav Jurkovic,,0.0,1.0,1.0,4.0,10.0
vedran-horvat,Vedran Horvat,,0.0,1.0,1.0,4.0,10.0
