player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,kr_avg,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
agiye-hall,Agiye Hall,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,21.0,41.0,0.0,0.0,1.0,83.0,4.0,,,,,,,,,0.0,1.0
andrew-mcbride,Andrew McBride,QB,,429.0,,,,,,,,,,,,2.0,,,,,,,,,42.0,18.0,22.0,10.0,0.0,52.0,0.0,2.0,184.0,0.0,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,3.0,,
cj-murrell,CJ Murrell,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
carl-robinson,Carl Robinson,QB,,500.0,,,,,,,,,,,,0.0,,,,,,,,,4.0,2.0,14.0,14.0,0.0,72.0,0.0,0.0,27.0,0.0,,,,,,,,,,,,,,,,,
chizi-umunakwe,Chizi Umunakwe,LB,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,,,,,,,,,,,2.0,,,,,11.0,0.0,22.0,,,,,,,,,,,13.0,30.0,0.0,0.0,3.0,67.0,5.0,0.0,,,,,,,,,
duane-brown,DUANE  BROWN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,22.0,0.0,0.0,1.0,52.0,5.0,,,,,,,,,,
dontae-mason,Dontae Mason,DB,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
drew-singleton,Drew Singleton,LB,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
esaias-gandy,Esaias Gandy,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
evan-byrd,Evan Byrd,K,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,5.0,6.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo-howard,Geo Howard,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
isaiah-hall,Isaiah Hall,DB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
isiah-scott,Isiah Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,17.0,0.0,0.0,1.0,51.0,5.0,,,,,,,,,,
john-griggs,John Griggs,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
joshua-kulka,Joshua Kulka,QB,,1.0,,,,,,,,,,,,0.0,,,,,,,,,3.0,3.0,20.0,13.0,0.0,119.0,0.0,0.0,40.0,0.0,,,,,,,,,,,,,,,,,
joshua-zacher,Joshua Zacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,0.0,0.0,4.0,,
khris-walton,Khris Walton,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
levi-hillborn,Levi Hillborn,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenzo-jones-jr,Lorenzo Jones Jr.,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
markus-smith,Markus Smith,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
marlon-bradley,Marlon Bradley,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
morris-joseph-jr,Morris Joseph Jr.,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
qaadir-shepard,Qaadir Shepard,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
sam-castronova,Sam Castronova,QB,,593.0,,,,,,,,,,,,1.0,,,,,,,,,27.0,16.0,41.0,13.0,0.0,108.0,1.0,5.0,213.0,0.0,,,,,,,,,,,,,,,,,
seth-robertson,Seth Robertson,,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0
vincent-wilkerson-ii,Vincent Wilkerson II,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,16.0,22.0,0.0,0.0,0.0,31.0,2.0,,2.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0
zuri-davis,Zuri Davis,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,10.0,18.0,0.0,0.0,0.0,77.0,8.0,,,,,,,,,0.0,1.0
