player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,,,,,,,29.0,3.0,,27.0,,
andre-mintze,Andre Mintze,DE/LB,,,,,,,,,,,0.5,2.0
brandon-arconado,Brandon Arconado,WR,,,,,,,-3.0,1.0,,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,26.0,3.0,,,,
bruce-hector,Bruce Hector,DL/DT,,,,,,,,,,,,3.0
bunmi-rotimi,Bunmi Rotimi,OLB/DB/DL/DT,,,,,,,,,,,,1.0
caleb-vander-esch,Caleb Vander Esch,WR,,,,,,1.0,28.0,2.0,,9.0,,
cameron-lewis,Cameron Lewis,DB,,,1.0,,,,,,,,,
caraun-reid,Caraun Reid,DL,,,,,,,,,,,0.5,5.0
chris-blair,Chris Blair,WR,,,,,,,32.0,2.0,,,,
deriq-king,D\'Eriq King,QB,1.0,,,1.0,76.0,,,,,9.0,,
darnell-sankey,Darnell Sankey,DB/LB,,,,,,,,,,,,9.0
dejuan-neal,DeJuan Neal,DB/CB,,,,,,,,,,,,5.0
devante-bausby,De\'Vante Bausby,DB/CB,,,1.0,,,,,,,,,4.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,,2.0,43.0,,
defenders-dst,Defenders DST,DST,,,,,,,,,,,2.0,
defenders-qb,Defenders QB,QB,2.0,,,3.0,264.0,,,,,23.0,,
ethan-wolf,Ethan Wolf,TE,,,,,,,16.0,1.0,,,,
fadol-brown,Fadol Brown,DE/DL/DT,,,,,,,,,,,,3.0
francis-bernard,Francis Bernard,LB,,,1.0,,,,,,,,0.5,10.0
isaiah-graham-mobley,Isaiah Graham-Mobley,LB,,,,,,,,,,,,2.0
javonta-payton,JaVonta Payton,WR,,,,,,,23.0,2.0,,,,
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,1.0
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,1.0
joe-powell,Joe Powell,DB/LB/SAF,,1.0,,,,,,,,,,3.0
jordan-taamu,Jordan Ta\'amu,QB,1.0,,,2.0,188.0,,2.0,1.0,,14.0,,
joseph-wallace,Joseph Wallace,DL/DT,,,,,,,,,,,,2.0
josh-hammond,Josh Hammond,WR,,,,,,1.0,74.0,5.0,,,,
josiah-coatney,Josiah Coatney,DL,,,,,,,,,,,,4.0
kentrell-brice,Kentrell Brice,DB/SAF,,,,,,,,,,,0.5,3.0
leddie-brown,Leddie Brown,RB,,,,,,,69.0,6.0,,31.0,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,22.0,2.0,,,,
lucky-jackson,Lucky Jackson,WR,,,,,,2.0,20.0,2.0,,,,
luis-perez,Luis Perez,QB,1.0,,,1.0,335.0,,,,,15.0,,
michael-joseph,Michael Joseph,DB/CB,,,,,,,,,,,,5.0
nate-becker,Nate Becker,TE,,,,,,,22.0,2.0,,,,
pooka-williams,Pooka Williams,RB/WR,,,,,,,,,,-1.0,,
rannell-hall-2,Rannell Hall,WR,,,,,,,19.0,2.0,,,,
renegades-dst,Renegades DST,DST,,2.0,,,,,,,,,,
renegades-qb,Renegades QB,QB,1.0,,,1.0,335.0,,,,,15.0,,
ryquell-armstead,Ryquell Armstead,RB,,,,,,,8.0,1.0,,1.0,,
sal-cannella,Sal Cannella,TE,,,,,,,92.0,7.0,,,,
santos-ramirez,Santos Ramirez,DB/SAF,,,1.0,,,,,,,,,6.0
shakur-brown,Shakur Brown,DB/CB,,,,,,,,,,,,1.0
shaun-beyer,Shaun Beyer,TE,,,,,,,,1.0,,,,
tj-barnes,T.J. Barnes,DB/DL/DT,,,,,,,,,,,,2.0
travon-fuller,Travon Fuller,DB,,,,,,,,,,,,1.0
tyler-vaughns,Tyler Vaughns,WR,,,,,,,63.0,6.0,,,,
will-clarke,Will Clarke,OLB/DL/DT,,,,,,,,,,,,1.0
will-hill,Will Hill,DB,,,1.0,,,,,,,,,4.0
willie-taylor,Willie Taylor,LB,,,2.0,,,,,,,,,
