player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-bowman,Adarius Bowman,SB/WR,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,DB/LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,,11.0,2.0,2.0,1.0,15.0,16.0,,,,,,27.0,18.0,1.0,161.0,,,1.0,12.0,1.0,2.0,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,,,,,14.0,3.0,6.0,,10.0,29.0,,,,,,,,,,1.0,,,2.0,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-burks,Brandon Burks,RB,,,,,,,,,,,,,,,,,,1.0,1.0,,-1.0,,15.0,1.0,,,15.0,3.0,12.0,,19.0,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DL/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craig-roh,Craig Roh,DL/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,,,,,,,,,,,23.0,6.0,9.0,1.0,35.0,82.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
declan-cross,Declan Cross,FB/RB,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,1.0,1.0,,,,,,,,,,,,13.0,1.0,1.0,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,
eric-striker,Eric Striker,DL/LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-thomas,Jake Thomas,DT/DB,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
james-franklin,James Franklin,P,,,,,,,,,36.0,21.0,1.0,27.0,8.0,2.0,,151.0,,,,,,,,,,,,3.0,2.0,,5.0,1.0,,,2.0,,,,,,,,
