player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,3.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
asi-tupua,Asi Tupua,DL,0.0,,,,,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,12.2,23.0,1.0,73.0,6.0,,,,,,1.0,1.0,,,,
brad-namdar,Brad Namdar,K,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,
brandon-munoz,Brandon Munoz,DL,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,0.0,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,15.0,10.0,,18.0,2.0,95.0,,,,,,3.3,20.0,12.0,2.0,40.0,,,,,,
cameron-mccauley,Cameron McCauley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,1.0,20.0,2.0,5.0,5.0,1.0,0.0,5.0,,,,,,
carlton-watkins,Carlton Watkins,DB,,1.0,0.0,0.0,,,,,,,,7.0,40.6,0.0,0.0,365.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0
damion-barber,Damion Barber,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
darius-meadors,Darius Meadors,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,6.0,,,,
dawandrick-crockett,Dawandrick Crockett,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.5,0.0,,
donyai-dixon,Donyai Dixon,DB,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
