player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-charles,A Charles,,3.0,0.0,0.0,9.0,1.0,0.0,,,,,,,,1.0
aiv-benatar,AIV Benatar,,42.0,1.0,1.0,1.0,21.0,0.0,12.0,0.0,0.0,7.0,1.0,2.0,,1.0
e-vukusic,E Vukusic,,18.0,1.0,0.0,1.0,15.0,0.0,24.0,0.0,1.0,13.0,0.0,1.0,,1.0
eas-ferrary,EAS Ferrary,,,,,,,,24.0,1.0,2.0,11.0,3.0,3.0,,1.0
h-leko,H Leko,,5.0,0.0,0.0,2.0,2.0,0.0,18.0,0.0,0.0,16.0,0.0,5.0,,1.0
h-mumford,H Mumford,,,,,,,,24.0,0.0,1.0,25.0,0.0,6.0,,1.0
l-krvaric,L Krvaric,,13.0,1.0,0.0,3.0,6.0,0.0,12.0,0.0,0.0,19.0,0.0,2.0,,1.0
m-modric,M Modric,,5.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,1.0
n-caruana,N Caruana,,29.0,1.0,1.0,2.0,24.0,0.0,18.0,0.0,1.0,10.0,2.0,8.0,1.0,1.0
p-senjug,P Senjug,,1.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,4.0,,1.0
priyanka-reddy,Priyanka Reddy,,5.0,0.0,0.0,8.0,0.0,0.0,,,,,,,,1.0
ra-reilly,RA Reilly,,,,,,,,,,,,,,1.0,1.0
s-kucuksucu,S Kucuksucu,,21.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,1.0
s-sebastian,S Sebastian,,19.0,0.0,0.0,10.0,1.0,0.0,,,,,,,,1.0
v-romani,V Romani,,3.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,1.0
y-korniienko,Y Korniienko,,14.0,0.0,1.0,11.0,6.0,0.0,,,,,,,,1.0
ys-blagg,YS Blagg,,,,,,,,24.0,1.0,1.0,6.0,2.0,3.0,,1.0
