player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-mccarron,AJ McCarron,QB,1.0,,,0.0,,2.0,216.0,,,,,,,
andre-szmyt,Andre Szmyt,K,,,36.0,,,,,,,,,,,
battlehawks-dst,Battlehawks DST,DST,,,,,1.0,,,18.0,,,,,,0.0
battlehawks-k,Battlehawks K,K,,,36.0,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,1.0,,,0.0,,0.0,16.0,,,,,0.0,24.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,0.0,14.0,2.0,0.0,5.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,0.0,41.0,1.0,,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,0.0,34.0,5.0,,,
devin-gray,Devin Gray,WR,,,,,,,,,0.0,6.0,1.0,,,
devin-ross,Devin Ross,WR,,1.0,,,,,,,0.0,46.0,2.0,,,
ej-perry,E.J. Perry,QB,,1.0,,2.0,,0.0,176.0,,,,,2.0,17.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,0.0,6.0,1.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,0.0,23.0,2.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,0.0,6.0,1.0,0.0,39.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,0.0,6.0,1.0,,,
jake-bates,Jake Bates,PK/K,,,64.0,,,,,,,,,,,
jake-sutherland,Jake Sutherland,TE/WR,1.0,,,,,,,,0.0,4.0,1.0,,,
jamarcus-bradley,Jamarcus Bradley,WR,,,,,,,,,0.0,10.0,2.0,,,
manny-wilkins,Manny Wilkins,QB,,,,0.0,,0.0,16.0,,,,,0.0,24.0,
marcell-ateman,Marcell Ateman,WR,,,,,,,,,1.0,60.0,6.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,0.0,38.0,2.0,,,
matt-colburn-ii,Matt Colburn II,WR/RB,1.0,,,,,,,,0.0,4.0,1.0,0.0,10.0,
panthers-dst,Panthers DST,DST,,,,,0.0,,,16.0,,,,,,3.0
panthers-k,Panthers K,K,,,64.0,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,1.0,,2.0,,0.0,176.0,,,,,2.0,17.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,0.0,21.0,2.0,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,0.0,6.0,2.0,0.0,40.0,
wes-hills,Wes Hills,RB,,,,,,,,,0.0,-1.0,1.0,0.0,85.0,
