player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,30.0,4.0,98.0,7.0,,,,,,,,,,,,,
aleki-tapa,Aleki Tapa,OL,,,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,30.0,14.0,,36.0,2.0,183.0,,,,,,2.3,8.0,4.0,1.0,9.0,,,,,,,,
bemnet-morgan,Bemnet Morgan,DB,,,,,,,,,,,,1.0,,,,,,,,,,,,17.0,13.0,,30.0,5.0,166.0,,,,,,,,,,,,,,,,,,
brandon-sheperd,Brandon Sheperd,,5.0,1.0,1.0,,,,,,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,0.0,,
damon-stokes,Damon Stokes,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.0,,
david-ross,David Ross,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
desmond-grace,Desmond Grace,DB,,,,,,,,,,,,,1.0,,,,,,,5.0,5.0,0.0,5.0,,,,,,,9.8,18.0,1.0,59.0,6.0,,,,,,,,,,,,,
desmond-scott,Desmond Scott,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
devond-blair-jr,Devond Blair Jr.,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,26.0,1.0,29.0,2.0,,,,,,,,,,,,,
donovan-johnson,Donovan Johnson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,8.0,8.0,1.0,0.0,8.0,,,2.0,2.0,,,,
everitt-cunningham,Everitt Cunningham,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,0.0,8.0,2.0,,,,,,,,,,,,,
gibson-ziah,Gibson Ziah,DL,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,
greg-conry,Greg Conry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,
isaiah-blackmon,Isaiah Blackmon,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,,,,,,,
jack-robinson,Jack Robinson,DL,,,,,,,,,,,,,,5.0,44.2,0.0,3.0,265.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
jalen-knox,Jalen Knox,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
james-summers,James Summers,QB/WR/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
jarvai-flowers,Jarvai Flowers,WR,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
jaylin-clark-mcnatte,Jaylin Clark-Mcnatte,WR,,,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,4.0,2.0,,6.0,1.0,9.0,,,,,,,,,,,,,,,,,,
jonathan-cardoza-chicas,Jonathan Cardoza-Chicas,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jordan-barton,Jordan Barton,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
josh-batiste,Josh Batiste,RB,,,,,,,,,,,,,,9.0,50.0,0.0,4.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
keshaun-taylor,KESHAUN TAYLOR,WR,,,,,,,,,,,,0.0,1.0,,,,,,,6.0,6.0,0.0,6.0,1.0,1.0,,6.0,0.0,6.0,,,,,,2.8,15.0,8.0,1.0,22.0,,,,,,,,
kevin-voyles,KEVIN VOYLES,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
khalil-trotman,Khalil Trotman,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.5,0.0,,
levonta-hall,Levonta Hall,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,27.0,2.0,140.0,11.0,,,,,,,,,,,,,
mclean-djouha,Mclean Djouha,OL,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,27.0,27.0,0.0,27.0,,,,,,,5.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,,,2.0,3.0,,,,
monalo-caldwell,Monalo Caldwell,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
ponce-deleon,Ponce Deleon,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
sam-moala,Sam Moala,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.0,1.0,0.0,-2.0,,,,,,,,
sean-connaghan,Sean Connaghan,LB,1.0,,,1.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.5,0.0,,
shaquez-bond,Shaquez Bond,DB,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
sterling-clark,Sterling Clark,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
tyler-lauenstein,Tyler Lauenstein,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,19.0,15.0,2.0,100.0,,,,,,,,
