player_id,player_name,positions,assist_tackles,completions,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,,,,,,,1.0
ahmad-dixon,Ahmad Dixon,DB/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,
alex-balducci,Alex Balducci,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
arrion-springs,Arrion Springs,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
asantay-brown,Asantay Brown,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
austin-macginnis,Austin MacGinnis,K,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-walter,Austin Walter,WR,,,,,,,,,,3.0,25.0,70.0,,,,,,,,,,,,,,,,,,,,,,,
brandon-barnes,Brandon Barnes,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,,,,,,1.0
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,5.0,14.0,2.0,99.0,,,,2.0
cedric-reed,Cedric Reed,DB/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,
christian-kuntz,Christian Kuntz,LS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
dc-defenders,DC Defenders,,,,,,9.0,27.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,19.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-phillips,Dashaun Phillips,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
dequan-hampton,De\'Quan Hampton,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,1.0
derron-smith,Derron Smith,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
devin-taylor,Devin Taylor,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
donald-parham,Donald Parham,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,76.0,5.0,,,,,,,4.0
donatello-brown,Donatello Brown,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
drew-galitz,Drew Galitz,P,,,,,,,,,,,,,,,,,,,45.5,53.0,,91.0,2.0,4.0,1.0,,,,,,,,,,
elijah-hood,Elijah Hood,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,31.0,,,,
flynn-nagel,Flynn Nagel,WR,,,,,,,,,,,,,,,,1.0,38.0,38.0,,,1.0,,,,,,13.0,2.0,,,,,1.0,1.0,1.0
frank-alexander,Frank Alexander,DB/DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
fred-lauina,Fred Lauina,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
gelen-robinson,Gelen Robinson,DB/DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
gerald-rivers,Gerald Rivers,DB/DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
greer-martini,Greer Martini,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,
harlan-miller,Harlan Miller,DB,,,,,32.0,,32.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
hauoli-kikaha,Hau'oli Kikaha,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
houston,Houston,,,,,,7.0,28.0,12.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jack-tocho,Jack Tocho,DB/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
jeff-badet,Jeff Badet,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,6.0,,,,,,,2.0
jerome-couplin,Jerome Couplin,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
jerrod-heard,Jerrod Heard,WR,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,4.0,,,,,,,2.0
josh-crockett,Josh Crockett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,2.0,,,,,,,1.0
josh-hawkins,Josh Hawkins,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
josh-johnson,Josh Johnson,DB,,18.0,,,,,,,,,,,34.0,2.0,196.0,,,,,,,,,,,,,,4.0,,3.0,,,,
kermit-whitfield,Kermit Whitfield,WR,,,,,,,,,,2.0,28.0,44.0,,,,1.0,4.0,4.0,,,1.0,,,,,,15.0,2.0,1.0,,17.0,,,,
ladarius-wiley,LaDarius Wiley,DB/S/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
lance-dunbar,Lance Dunbar,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,6.0,,42.0,,,,2.0
landry-jones,Landry Jones,QB,,28.0,,,,,,2.0,,,,,40.0,1.0,305.0,,,,,,,,,,,,,,4.0,,13.0,,,,
larry-rose,Larry Rose,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,3.0,,6.0,,,,1.0
los-angeles,Los Angeles,,,,,,15.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marsean-diggs,Mar'Sean Diggs,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
martez-carter,Martez Carter,RB/WR,,,,,,,,,,4.0,48.0,135.0,,,,,,,,,,,,,,,,,,,,,,,
micah-abernathy,Micah Abernathy,DB/S/CB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
mike-stevens,Mike Stevens,DB/CB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
nelson-spruce,Nelson Spruce,WR,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,89.0,6.0,,,,,,,4.0
nick-novak,Nick Novak,K,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owen-roberts,Owen Roberts,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
quentin-gause,Quentin Gause,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
raymond-davison,Raymond Davison,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,
reggie-howard,Reggie Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
reshard-cliett,Reshard Cliett,DB/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
roman-tatum,Roman Tatum,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
sean-price,Sean Price,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,3.0,,,,,,,2.0
seattle,Seattle,,,,,,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
