player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,
ahmad-dixon,Ahmad Dixon,DB/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,
antwione-williams,Antwione Williams,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
arrion-springs,Arrion Springs,DB,1.0,,,,15.0,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
bradley-sylve,Bradley Sylve,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
brandon-barnes,Brandon Barnes,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2.0,,,,,,,2.0
cardale-jones,Cardale Jones,QB,,13.0,,,,,,4.0,,,,,26.0,,103.0,,,,,,,,,,,,,,6.0,,19.0,,,,
carlos-merritt,Carlos Merritt,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
cedric-reed,Cedric Reed,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,
dc-defenders,DC Defenders,,,,,,6.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,12.0,24.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
deandre-thompkins,DeAndre Thompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,,1.0
des-lawrence,Des Lawrence,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
devin-taylor,Devin Taylor,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
donnel-pumphrey,Donnel Pumphrey,RB,,,,,,,,,,4.0,28.0,92.0,,,,,,,,,,,,,,,7.0,2.0,8.0,,40.0,,,,
doran-grant,Doran Grant,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
dujuan-harris,DuJuan Harris,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,6.0,,,,
eli-rogers,Eli Rogers,WR,,,,,,,,,,,,,,,,3.0,16.0,22.0,,,2.0,,,,,,15.0,3.0,,,,,,,
elijah-campbell,Elijah Campbell,DB/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
elijah-qualls,Elijah Qualls,DL/DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
houston,Houston,,,,,,8.0,34.0,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hunter-niswander,Hunter Niswander,P,,,,,,,,,,,,,,,,,,,50.5,56.0,,202.0,4.0,64.0,3.0,,,,1.0,,-12.0,,,,
jack-tocho,Jack Tocho,DB/SAF,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
jalan-mcclendon,Jalan McClendon,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,
jalen-greene,Jalen Greene,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
jameer-thurman,Jameer Thurman,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,
jay-bromley,Jay Bromley,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
jerome-couplin,Jerome Couplin,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,
jhurell-pressley,Jhurell Pressley,RB,,,,,,,,,,1.0,21.0,21.0,,,,,,,,,,,,,,,1.0,2.0,4.0,,20.0,,,,
jonathan-celestin,Jonathan Celestin,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,,,
josh-johnson,Josh Johnson,DB,,18.0,,,,,,,,,,,25.0,3.0,278.0,,,,,,,,,,,,,,3.0,,6.0,,,,
kalani-vakameilalo,Kalani Vakameilalo,DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
keshun-freeman,KeShun Freeman,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
kenny-bigelow,Kenny Bigelow,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
kermit-whitfield,Kermit Whitfield,WR,,,,,,,,,,1.0,23.0,23.0,,,,,41.0,48.0,,,2.0,,,,,,6.0,1.0,1.0,,1.0,,,,
khalid-abdullah,Khalid Abdullah,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,8.0,,47.0,,1.0,1.0,
khari-lee,Khari Lee,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,3.0,,,,,1.0,1.0,1.0
ladarius-wiley,LaDarius Wiley,S/DB/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
larry-rose,Larry Rose,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,1.0,5.0,1.0,6.0,,,,
los-angeles,Los Angeles,,,,,,6.0,39.0,21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
marsean-diggs,Mar'Sean Diggs,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
martez-carter,Martez Carter,RB/WR,,,,,,,,,,1.0,22.0,22.0,,,,,,,,,,,,,,1.0,41.0,3.0,11.0,2.0,34.0,,,,2.0
matt-elam,Matt Elam,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
mike-stevens,Mike Stevens,CB/DB,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,7.0,
nelson-spruce,Nelson Spruce,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,3.0,,,,,,,2.0
new-york,New York,,,,,,6.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-brossette,Nick Brossette,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,75.0,,,,
owen-roberts,Owen Roberts,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
quentin-gause,Quentin Gause,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
rahim-moore,Rahim Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
rashad-ross,Rashad Ross,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,,,,,1.0,1.0,1.0
reggie-howard,Reggie Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
roderick-henderson,Roderick Henderson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
roman-tatum,Roman Tatum,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
ryan-navarro,Ryan Navarro,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
sam-montgomery,Sam Montgomery,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
scooby-wright,Scooby Wright,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
seattle,Seattle,,,,,,,12.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
shamarko-thomas,Shamarko Thomas,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
shane-tripucka,Shane Tripucka,P,,,,,,,,,,,,,,,,,,,37.0,47.0,,185.0,5.0,22.0,2.0,,,,,,,,,,
shawn-oakman,Shawn Oakman,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
simmie-cobbs,Simmie Cobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
st-louis,St. Louis,,,,,,3.0,29.0,17.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
