player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
brian-price,Brian Price,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
calvin-lowe,Calvin Lowe,WR,1.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,5.0,4.0,,11.0,0.0,37.0,,,,,,5.0,6.0,3.0,1.0,15.0,0.0,1.0,,,0.0,0.0
cameron-hunt-ii,Cameron Hunt II,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,0.0,36.0,4.0,,,,,,1.0,1.0,,,,
carl-robinson-iii,Carl Robinson III,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,
chase-contreraz,Chase Contreraz,K,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,9.5,12.0,2.0,1.0,19.0,2.0,2.0,,,,
colby-thomas,Colby Thomas,G/OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,18.0,1.0,43.0,5.0,3.0,4.0,2.0,0.0,6.0,,,,,,
cornel-jones,Cornel Jones,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,3.0,,,,,,,13.7,21.0,0.0,41.0,,,,,,,10.0,10.0,0.0,10.0,1.0,4.9,13.0,11.0,3.0,54.0,,,,,,
davonte-brown,Davonte Brown,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.0,1.0,0.0,-2.0,,,,,,
demetrich-anderton,Demetrich Anderton,OL,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,,,,
devanaire-conliffe,Devanaire Conliffe,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
erick-young,Erick Young,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,,0.0,,,,,,,,,,,,15.0,11.0,,25.0,2.0,120.0,,,,,,3.0,5.0,5.0,1.0,15.0,,,,,,
idrissa-nikiema,Idrissa Nikiema,K,,,,1.0,0.0,0.0,,,,,,,,,5.0,44.0,2.0,0.0,220.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
jay-palmer,Jay Palmer,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
jaylen-perkins,Jaylen Perkins,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,3.0,,,,
jaylon-abdual-karim,Jaylon Abdual-Karim,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,,,,,,,,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,,3.0,,,,,,,13.0,23.0,0.0,39.0,,,,,,,19.0,39.0,1.0,76.0,4.0,,,,,,,,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.0,0.0,15.0,2.0,,,,,,,,,,,
joshua-neal,Joshua Neal,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,25.0,1.0,51.0,3.0,,,,,,1.0,1.0,,,,
justin-gilbert,Justin Gilbert,DB,,,,,,,,,,,,,1.0,,,,,,,,,,,,24.0,17.0,,39.0,1.0,197.0,,,,,,2.2,6.0,5.0,1.0,11.0,,,,,,
kameronn-joseph,Kameronn Joseph,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,,,,,,,2.0,,,,,,,8.5,12.0,0.0,17.0,,,,,,,10.1,19.0,0.0,81.0,8.0,3.4,10.0,11.0,2.0,37.0,,,,,,
landon-freeman,Landon Freeman,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,1.0,1.0,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,,6.0,48.2,0.0,0.0,434.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0
roderick-ross-jr,Roderick Ross Jr.,OL,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,
sammie-epps,Sammie Epps,WR,1.0,1.0,1.0,,,,,,,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
sidney-jones,Sidney Jones,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
tavin-fitzgerald,Tavin Fitzgerald,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
terrance-tolbert-mcintyre,Terrance Tolbert-Mcintyre,WR,,,,,,,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,7.0,7.0,0.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,
terrence-jackson-jr,Terrence Jackson Jr,,,,,,,,,1.0,0.0,,,,,3.0,,,,,,,12.7,17.0,0.0,38.0,,,,,,,9.5,10.0,0.0,19.0,2.0,,,,,,,,,,,
xaiver-spann,Xaiver Spann,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
zemar-anderson,Zemar Anderson,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
zuri-davis,Zuri Davis,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,,,
