player_id,player_name,positions,lost_fumbles,pass_defended,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,1.0,,,15.0,1.0,1.0,71.0,,
adam-sparks,Adam Sparks,DB/CB,,2.0,,,,,,,4.0
andre-mintze,Andre Mintze,DE/LB,,1.0,,,,,,0.5,1.0
anthony-hines,Anthony Hines,LB,,,,,,,,1.0,3.0
antonio-phillips,Antonio Phillips,DB,,,,,,,,,1.0
brandon-dillon,Brandon Dillon,TE,,,,6.0,1.0,,,,
brett-hundley,Brett Hundley,QB,1.0,,98.0,,,,24.0,,
cj-avery,C.J. Avery,LB,,,,,,,,,2.0
cam-sutton,Cam Sutton,TE,,,,15.0,1.0,,,,
chris-blair,Chris Blair,WR,,,,19.0,2.0,,,,
cinque-sweeting,Cinque Sweeting,WR,,,,14.0,2.0,,4.0,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,2.0
deriq-king,D\'Eriq King,QB,,,,,,1.0,32.0,,
deandre-torrey,DeAndre Torrey,RB,,,,,,1.0,5.0,,
dejuan-neal,DeJuan Neal,DB/CB,,1.0,,,,,,,3.0
defenders-qb,Defenders QB,QB,2.0,,93.0,,,1.0,100.0,,
deontay-anderson,Deontay Anderson,DB/SAF,,1.0,,,,,,,3.0
ethan-wolf,Ethan Wolf,TE,,,,19.0,3.0,,,,
jacub-panasiuk,Jacub Panasiuk,DL,,1.0,,,,,,,2.0
jahsheem-martin,Jah\'Sheem Martin,DL,,,,,,,,,2.0
jamal-brooks,Jamal Brooks,LB,,,,,,,,,2.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,2.0
jawuan-johnson,Jawuan Johnson,LB,,,,,,,,,7.0
jeff-badet,Jeff Badet,WR,,,,6.0,2.0,,1.0,,
john-lovett,John Lovett,RB,,,,33.0,2.0,,10.0,,
jordan-taamu,Jordan Ta\'amu,QB,2.0,,93.0,,,,68.0,,
joseph-wallace,Joseph Wallace,DL/DT,,,,,,,,0.5,2.0
josh-hammond,Josh Hammond,WR,,,,24.0,3.0,,,,
joshua-allen,Joshua Allen,DB,,,,,,,,,2.0
keylon-kennedy,Keylon Kennedy,DB/CB,,,,,,,,,1.0
laron-stokes,LaRon Stokes,DL/DT/DE,,,,,,,,,4.0
lucky-jackson,Lucky Jackson,WR,,,,16.0,2.0,,,,
luis-perez,Luis Perez,QB,,,,,,,9.0,,
martavis-bryant,Martavis Bryant,WR,,,,,,,0.0,,1.0
mathew-sexton,Mathew Sexton,WR,,,0.0,12.0,2.0,,,,
mister-harriel,Mister Harriel,DB/FS,,1.0,,9.0,1.0,,,,3.0
nijuel-hill,Nijuel Hill,DB,,1.0,,,,,,,3.0
pj-dawson,P.J. Dawson,LB,,1.0,,,,,,,2.0
pita-taumoepenu,Pita Taumoepenu,OLB/LB,,,,,,,,,3.0
pooka-williams,Pooka Williams,WR/RB,,,,,,,,,1.0
robert-windsor,Robert Windsor,DL,,,,,,,,,5.0
rod-smith,Rod Smith,RB,,,,3.0,1.0,,38.0,,
ryquell-armstead,Ryquell Armstead,RB,,,,,,,58.0,,
santos-ramirez,Santos Ramirez,DB/SAF,,,,,,,,,2.0
travis-koontz,Travis Koontz,TE,,,,9.0,1.0,,,,1.0
travon-fuller,Travon Fuller,DB,,,,,,,,,1.0
vic-beasley,Vic Beasley,DE/LB,,,,,,,,,3.0
vipers-qb,Vipers QB,QB,1.0,,98.0,,,,33.0,,
