player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
byron-cooper,Byron Cooper,LB,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,19.0,11.0,,35.0,3.0,140.0,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,
cameron-alves,Cameron Alves,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,3.0,5.0,1.0,0.0,,
cameron-george,Cameron George,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,
charles-smith,Charles Smith,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,11.0,1.0,25.0,3.0,2.3,5.0,6.0,1.0,14.0,,,1.0,1.0,,,,
david-francis,David Francis,DL,,,,1.0,0.0,0.0,,,,,,,,,,,5.0,50.0,0.0,1.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0
deonte-rarrick,Deonte Rarrick,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,0.0,17.0,1.0,,,,,,,,,,,,,
dion-kuinlan,Dion Kuinlan,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
easias-gandy,Easias Gandy,LB,0.0,,,,,,,,,,,,,,,4.0,,,,,,,16.0,24.0,0.0,64.0,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
fred-hardgrove,Fred Hardgrove,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,35.0,2.0,103.0,7.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
gabriel-reed,Gabriel Reed,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,0.5,4.0,6.0,1.0,0.0,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,21.0,0.0,27.0,2.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
