player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-mack,Austin Mack,WR,,,,,,,,,0.0,46.0,3.0,,,
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,0.0,48.0,5.0,,,
cole-spieker,Cole SPIEKER,WR,,,,,,,,,1.0,129.0,9.0,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,0.0,17.0,1.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,1.0,36.0,5.0,,,
david-dallaire,David DALLAIRE,RB/FB,,,,,,,,,0.0,10.0,1.0,,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,1.0,39.0,3.0,,,
davis-alexander,Davis ALEXANDER,QB,,,,1.0,,1.0,303.0,,,,,1.0,23.0,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,0.0,38.0,5.0,,,
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,,0.0,35.0,4.0,1.0,32.0,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,0.0,0.0,0.0,,,
jacob-mason,Jacob MASON,RB/FB,,,,,,,,,0.0,13.0,2.0,,,
james-letcher-jr,James LETCHER JR,WR,,,,,,,,,,5.0,1.0,,,
janarion-grant,Janarion GRANT,WR,,,,,,,,,0.0,0.0,0.0,,,
jose-maltos,Jose MALTOS,K,1.0,65.0,,,,,,,,,,,,
kevin-mital,Kevin Mital,WR,,,,,,,,,0.0,77.0,10.0,0.0,1.0,
lirim-hajrullahu,Lirim Hajrullahu,K,3.0,45.0,,,,,,,,,,,,
mtl-dst,MTL DST,DST,,,,,1.0,,,25.0,,,,,,3.0
mtl-k,MTL K,K,1.0,65.0,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,1.0,,1.0,303.0,,,,,1.0,23.0,
nick-arbuckle,Nick ARBUCKLE,QB,,,,1.0,,2.0,242.0,,,,,0.0,12.0,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,1.0,21.0,
tor-dst,TOR DST,DST,,,1.0,,1.0,,,26.0,,,,,,
tor-k,TOR K,K,3.0,45.0,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,,1.0,,2.0,242.0,,,,,0.0,12.0,
travis-theis,Travis THEIS,RB,,,,,,,,,,,,0.0,40.0,
tyler-snead,Tyler SNEAD,WR,,,,,,,,,0.0,37.0,3.0,,,
