player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
arike-ogunbowale,Arike Ogunbowale,W,2.0,,3.0,0.143,7.0,1.0,0.4,20.0,8.0,2.0,,2.0,,34.96666666666667,1.0,,17.0,4.0,2.0,5.0
awak-kuier,Awak Kuier,,,2.0,2.0,,,,,1.0,,,,,,6.533333333333333,,-1.0,,2.0,,
brianna-turner,Brianna Turner,,3.0,1.0,3.0,,,,,1.0,,4.0,,,,21.433333333333334,,-7.0,,3.0,1.0,1.0
brittney-griner,Brittney Griner,F,2.0,1.0,2.0,,,,0.556,18.0,10.0,3.0,0.667,6.0,4.0,33.65,2.0,-1.0,24.0,4.0,2.0,2.0
diana-taurasi,Diana Taurasi,,7.0,2.0,6.0,0.143,14.0,2.0,0.304,23.0,7.0,5.0,0.75,4.0,3.0,35.65,,-8.0,19.0,6.0,2.0,5.0
jasmine-dickey,Jasmine Dickey,,,,1.0,,,,,2.0,,,,,,4.266666666666667,1.0,,,2.0,,
kadi-sissoko,Kadi Sissoko,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,3.8,,,2.0,1.0,,
kalani-brown,Kalani Brown,,1.0,,12.0,,,,0.5,10.0,5.0,5.0,0.875,8.0,7.0,29.616666666666667,3.0,8.0,17.0,15.0,1.0,2.0
maddy-siegrist,Maddy Siegrist,W,,,3.0,,,,0.667,9.0,6.0,,1.0,2.0,2.0,18.766666666666666,5.0,19.0,14.0,8.0,,1.0
megan-gustafson,Megan Gustafson,,1.0,,,,,,,,,,,,,2.6833333333333336,,-1.0,,,,
michaela-onyenwere,Michaela Onyenwere,,1.0,,2.0,,,,0.4,5.0,2.0,4.0,,,,17.133333333333333,,-4.0,4.0,2.0,1.0,3.0
moriah-jefferson,Moriah Jefferson,,,,1.0,,,,,,,,,,,4.666666666666667,,7.0,,1.0,,
natasha-howard,Natasha Howard,,1.0,,4.0,,4.0,,0.182,11.0,2.0,4.0,1.0,5.0,5.0,31.7,1.0,2.0,9.0,5.0,1.0,5.0
odyssey-sims,Odyssey Sims,,6.0,,1.0,,1.0,,0.2,5.0,1.0,1.0,0.25,4.0,1.0,19.916666666666668,,13.0,3.0,1.0,1.0,1.0
satou-sabally,Satou Sabally,W,,1.0,7.0,0.333,9.0,3.0,0.471,17.0,8.0,4.0,0.833,6.0,5.0,33.75,3.0,-6.0,24.0,10.0,1.0,2.0
shey-peddy,Shey Peddy,,2.0,,1.0,0.333,3.0,1.0,0.667,6.0,4.0,2.0,1.0,1.0,1.0,14.8,1.0,4.0,10.0,2.0,2.0,
sophie-cunningham,Sophie Cunningham,,1.0,1.0,1.0,0.5,8.0,4.0,0.455,11.0,5.0,6.0,1.0,2.0,2.0,35.56666666666667,1.0,-5.0,16.0,2.0,2.0,3.0
sug-sutton,Sug Sutton,G,8.0,1.0,5.0,,1.0,,0.4,5.0,2.0,1.0,,,,30.616666666666667,,-10.0,4.0,5.0,,1.0
veronica-burton,Veronica Burton,G,3.0,3.0,2.0,,2.0,,,2.0,,1.0,,,,20.483333333333334,1.0,-10.0,,3.0,,1.0
